PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,TIMER19_MCH3/USART1_RTS/USART1_DE/MFCOM_D3/TRIGSEL_OUT7/EVENTOUT,
2,PE3,gpio,TIMER19_CH3/USART1_CTS/MFCOM_D2/TRIGSEL_OUT6/EVENTOUT,
3,PE4,gpio,TIMER0_MCH1/TIMER19_MCH0/SPI1_MISO/MFCOM_D1/TRIGSEL_OUT2/EVENTOUT,
4,PE5,gpio,TIMER0_CH1/TIMER19_CH0/SPI1_SCK/I2S1_CK/MFCOM_D0/TRIGSEL_OUT1/EVENTOUT,
5,PE6,gpio,TIMER1_CH0/TIMER1_ETI/TIMER19_MCH2/I2S1_MCK/MFCOM_D5/TRIGSEL_OUT5/EVENTOUT,
6,PC13-OSC32IN,gpio,CK_OUT/TIMER19_CH2/MFCOM_D4/TRIGSEL_OUT4/EVENTOUT/WKUP1/OSC32IN,
7,PC14-OSC32IN,gpio,TIMER19_BRKIN0/EVENTOUT/OSC32IN,
8,PC15-OSC32OUT,gpio,TIMER_ETI2/TIMER19_MCH1/TIMER19_CH1/CAN0_TX/MFCOM_D7/EVENTOUT/OSC32OUT,
9,PF0,gpio,TIMER19_CH1/CAN0_RX/MFCOM_D6/EVENTOUT,
10,VDD,power,,
11,VDDA,power,,
12,VREFP,power,,
13,VREFN,power,,
14,VSS,ground,,
15,PF6-OSCOUT,gpio,I2C0_SCL/EVENTOUT/OSCOUT,
16,PF7-OSCIN,gpio,I2C0_SDA/EVENTOUT/OSCIN,
17,PF1,gpio,TIMER0_BRKIN1/TIMER19_BRKIN1/EVENTOUT,
18,PF2,gpio,TIMER0_BRKIN0/TIMER19_BRKIN0/USART2_RTS/USART2_DE/TRIGSEL_IN6/CMP_OUT/EVENTOUT,
19,PF3,gpio,TIMER0_BRKIN3/USART2_TX/EVENTOUT,
20,PF4,gpio,TIMER0_BRKIN2/USART2_RX/EVENTOUT,
21,PF5,gpio,TIMER0_MCH0/SPI0_MISO/USART1_CTS/EVENTOUT,
22,PC0,gpio,TIMER0_CH0/SPI0_SCK/EVENTOUT,
23,PC1,gpio,TIMER0_MCH3/USART2_CTS/EVENTOUT,
24,PC2,gpio,CK_OUT/TIMER19_MCH2/USART1_TX/EVENTOUT,
25,PC3,gpio,TIMER19_CH2/USART1_RX/EVENTOUT,
26,PA0-WKUP,gpio,TIMER0_CH3/EVENTOUT/CMP_IM_IP3/WKUP0,
27,PA1,gpio,CK_OUT/TIMER0_MCH2/SPI0_NSS/TRIGSEL_IN0/EVENTOUT,
28,PA2,gpio,TIMER0_CH2/SPI0_MOSI/TRIGSEL_IN1/EVENTOUT,
29,PA3,gpio,TIMER0_MCH1/USART0_TX/CAN0_TX/TIMER1_CH3/EVENTOUT,
30,PA4,gpio,ADC0_IN11/CMP_IM_IP4/TIMER0_CH1/USART0_RX/CAN0_RX/EVENTOUT/ADC0_IN10/CMP_IM_IP5,
31,PA5,gpio,TIMER19_BRKIN3/USART2_TX/EVENTOUT/CMP_IM_IP6,
32,PA6,gpio,TIMER19_BRKIN2/USART2_RX/EVENTOUT/CMP_IM_IP7,
33,PA7,gpio,TIMER19_MCH1/TIMER1_CH1/TIMER19_BRKIN1/TRIGSEL_IN7/EVENTOUT/USART2_CK/DAC_OUT,
34,PC4,gpio,TIMER19_CH1/USART2_RTS/USART2_DE/EVENTOUT,
35,PC5,gpio,TIMER19_MCH0/TIMER19_CH0/USART2_CTS/EVENTOUT,
36,PB0,gpio,TIMER19_CH0/TIMER19_CH1/EVENTOUT,
37,VSS_1,ground,,
38,VDD_1,power,,
39,PB1,gpio,TIMER0_MCH0/TIMER7_MCH3/EVENTOUT/ADC0_IN9,
40,PB2,gpio,TIMER0_CH0/TIMER7_CH3/EVENTOUT/ADC0_IN8,
41,PE7,gpio,TIMER7_MCH2/TIMER19_BRKIN3/MFCOM_D0/EVENTOUT,
42,PE8,gpio,TIMER7_CH2/TIMER19_BRKIN2/MFCOM_D1/EVENTOUT,
43,PE9,gpio,TIMER7_BRKIN3/EVENTOUT/ADC0_IN15,
44,PE10,gpio,,
45,PE11,gpio,TIMER7_BRKIN2/EVENTOUT/I2C1_SCL/ADC0_IN14/TIMER7_MCH1/TRIGSEL_IN8/I2C1_SDA/ADC0_IN13,
46,PE12,gpio,TIMER7_CH1/TRIGSEL_IN9/EVENTOUT/I2C1_SMBA/ADC0_IN12,
47,PE13,gpio,TIMER7_MCH0/TIMER7_CH0/SPI0_MISO/TRIGSEL_IN2/EVENTOUT/ADC0_IN7,
48,PE14,gpio,TIMER7_CH0/TIMER7_CH1/SPI0_SCK/TRIGSEL_IN3/EVENTOUT/ADC0_IN6,
49,PE15,gpio,TIMER20_MCH3/TIMER19_MCH3/SPI0_IO2/USART2_RTS/USART2_DE/EVENTOUT,
50,PB10,gpio,TIEMR20_CH3/TIMER19_CH3/SPI0_IO3/USART2_CTS/EVENTOUT,
51,PB11,gpio,TIMER20_MCH2/TRIGSEL_IN10/TIMER1_CH3/EVENTOUT,
52,PB12,gpio,TIMER20_CH2/TRIGSEL_IN11/EVENTOUT,
53,PB13,gpio,TIMER_ETI0/SPI0_MOSI/USART0_TX/CAN0_TX/EVENTOUT/ADC0_IN5/ADC1_IN15,
54,PB14,gpio,TIMER1_CH2/SPI0_NSS/USART0_RX/CAN0_RX/EVENTOUT/ADC0_IN4/ADC1_IN14,
55,PB15,gpio,TIMER7_BRKIN1/USART1_TX/USART0_RTS/USART0_DE/EVENTOUT,
56,PD8,gpio,TIMER7_BRKIN0/USART1_RX,
57,PD9,gpio,TIMER0_BRKIN2/USART1_RTS/USART1_DE/EVENTOUT/ADC0_IN3,
58,PD10,gpio,TIMER0_BRKIN1/SPI1_NSS/I2S1_WS/USART1_CTS/EVENTOUT/ADC0_IN2,
59,PD11,gpio,TIMER0_MCH3/TIMER20_BRKIN0/EVENTOUT/I2C1_SMBA,
60,VSS_2,ground,,
61,VDD_2,power,,
62,PD12,gpio,TIMER0_CH3/TIMER20_BRKIN0/EVENTOUT,
63,PD13,gpio,TIMER0_MCH2/SPI1_NSS/I2S1_WS/EVENTOUT,
64,PD14,gpio,TIMER0_CH2/SPI1_MOSI/I2S1_SD/EVENTOUT/ADC1_IN15,
65,PD15,gpio,TIMER0_MCH1/SPI1_MISO/EVENTOUT/ADC1_IN14,
66,PC6,gpio,TIMER0_CH1/SPI1_SCK/I2S1_CK/EVENTOUT/ADC1_IN9/ADC0_IN9,
67,PC7,gpio,TIMER0_MCH0/TIMER20_BRKIN1/I2S1_MCK/EVENTOUT/ADC1_IN8/ADC0_IN8,
68,PC8,gpio,TIMER0_CH0/TIMER20_BRKIN2/EVENTOUT/ADC1_IN7,
69,PC9,gpio,TIMER0_BRKIN3/TIMER20_BRKIN3/EVENTOUT,
70,PA8,gpio,ADC1_IN6/TIMER0_BRKIN0/TIMER20_MCH2/SPI1_NSS/I2S1_WS/MFCOM_D7/MFCOM_D5/TRIGSEL_IN4/EVENTOUT/ADC1_IN3/NMI,
71,PA9,gpio,TIMER20_CH2/SPI1_MOSI/I2S1_SD/MFCOM_D6/MFCOM_D4/TRIGSEL_IN5/EVENTOUT/ADC1_IN2,
72,PA10,gpio,TIMER20_MCH0/I2C0_SCL/USART0_TX/MFCOM_D5/EVENTOUT/ADC1_IN1,
