BallName,PinName,PinType,Alternate,Remap
A1,PE3,gpio,EXMC_A19,
A2,PE1,gpio,EXMC_NBL1,
A3,PB8,gpio,TIMER3_CH2/TIMER9_CH0,I2C0_SCL/CAN0_RX
A4,BOOT0,boot,,
A5,PD7,gpio,EXMC_NE0,USART1_CK
A6,PD5,gpio,EXMC_NWE,USART1_TX
A7,PB4,gpio,,
A8,PB3,gpio,,
A9,PA15,gpio,,
A10,PA14,gpio,,
A11,PA13,gpio,,
A12,PA12,gpio,USART0_RTS/CAN0_TX/USBFS_DP/TIMER0_ETI,
B1,PE4,gpio,EXMC_A20,
B2,PE2,gpio,EXMC_A23,
B3,PB9,gpio,TIMER3_CH3/TIMER10_CH0,I2C0_SDA/CAN0_TX
B4,PB7,gpio,I2C0_SDA/TIMER3_CH1/EXMC_NL(NADV),USART0_RX/SPI0_IO3
B5,PB6,gpio,I2C0_SCL/TIMER3_CH0,USART0_TX/CAN1_TX/SPI0_IO2
B6,PD6,gpio,EXMC_NWAIT,USART1_RX
B7,PD4,gpio,EXMC_NOE,USART1_RTS
B8,PD3,gpio,EXMC_CLK,USART1_CTS
B9,PD1,gpio,EXMC_D3,OSCOUT/CAN0_TX
B10,PC12,gpio,UART4_TX,USART2_CK/SPI2_MOSI/I2S2_SD
B11,PC10,gpio,UART3_TX,USART2_TX/SPI2_SCK/I2S2_CK
B12,PA11,gpio,USART0_CTS/CAN0_RX/USBFS_DM/TIMER0_CH3,
C1,PC13-TAMPER-RTC,gpio,RTC_TAMPER,
C2,PE5,gpio,EXMC_A21,TIMER8_CH0
C3,PE0,gpio,TIMER3_ETI/EXMC_NBL0,
C4,VDD_3,power,,
C5,PB5,gpio,I2C0_SMBA/SPI2_MOSI/I2S2_SD,TIMER2_CH1/SPI0_MOSI/CAN1_RX
C8,PD2,gpio,TIMER2_ETI/UART4_RX,
C9,PD0,gpio,EXMC_D2,OSCIN/CAN0_RX
C10,PC11,gpio,UART3_RX,USART2_RX/SPI2_MISO
C11,NC,nc,,
C12,PA10,gpio,USART0_RX/TIMER0_CH2/USBFS_ID,
D1,PC14-OSC32IN,gpio,OSC32IN,
D2,PE6,gpio,EXMC_A22,TIMER8_CH1
D3,VSS_3,ground,,
D10,PA9,gpio,USART0_TX/TIMER0_CH1/USBFS_VBUS,
D11,PA8,gpio,USART0_CK/TIMER0_CH0/CK_OUT0/USBFS_SOF/CTC_SYNC,
D12,PC9,gpio,TIMER7_CH3,TIMER2_CH3
E1,PC15-OSC32OUT,gpio,OSC32OUT,
E2,VBAT,power,,
E3,VSS_4,ground,,
E10,PC8,gpio,TIMER7_CH2,TIMER2_CH2
E11,PC7,gpio,I2S2_MCK/TIMER7_CH1,TIMER2_CH1
E12,PC6,gpio,I2S1_MCK/TIMER7_CH0,TIMER2_CH0
F1,OSCIN,clock,,PD0
F2,VSS_5,ground,,
F11,VSS_2,ground,,
F12,VSS_1,ground,,
