PinName,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PA0,SPI1_SCK,USART1_CTS,TIMER15_CH0,,USART0_TX,TIMER0_CH0,,CMP0_OUT,,,,,,,,
PA1,SPI0_SCK/I2S0_CK,USART1_RTS_DE_CK,TIMER16_CH0,SPI1_IO2,USART0_RX,TIMER0_CH1,I2C0_SMBA,EVENTOUT,,,,,,,,
PA2,SPI0_MOSI/I2S0_SD,USART1_TX,TIMER15_CH0_ON,TIMER2_ETI,SPI1_IO3,TIMER0_CH2,USART2_TX,CMP1_OUT,,,,,,,,
PA3,SPI1_MISO,USART1_RX,TIMER0_CH0_ON,,,TIMER0_CH3,USART2_RX,EVENTOUT,,,,,,,,
PA4,SPI0_NSS/I2S0_WS,USART1_TX,TIMER0_CH1_ON,SPI1_MOSI,TIMER13_CH0,TIMER16_CH0_ON,,EVENTOUT,,,,,,,,
PA5,SPI0_SCK/I2S0_CK,USART1_RX,TIMER0_CH2_ON,SPI1_IO2,,TIMER0_CH0,,EVENTOUT,,,,,,,,
PA6,SPI0_MISO,TIMER2_CH0,TIMER0_BRKIN0,SPI1_IO3,,TIMER15_CH0,USART2_CTS,CMP0_OUT,,,,,,,,
PA7,SPI0_MOSI/I2S0_SD,TIMER2_CH1,TIMER0_CH0_ON,,TIMER13_CH0,TIMER16_CH0,USART2_RTS_DE_CK,CMP1_OUT,,,,,,,,
PA8,CK_OUT0,USART1_TX,TIMER0_CH0,SPI1_NSS,,,,EVENTOUT,SPI0_NSS/I2S0_WS,TIMER0_CH1_ON,TIMER0_CH2_ON,TIMER2_CH2,TIMER2_CH3,TIMER13_CH0,USART0_RX,CK_OUT1
PA9,CK_OUT0,USART0_TX,TIMER0_CH1,TIMER2_ETI,SPI1_MISO,,I2C0_SCL,EVENTOUT,,,,,,,,
PA10,SPI1_MOSI,USART0_RX,TIMER0_CH2,CK_OUT1,,TIMER16_BRKIN0,I2C0_SDA,EVENTOUT,,,,,,,,
PA11,SPI0_MISO,USART0_CTS,TIMER0_CH3,SPI1_IO2,,TIMER0_BRKIN1,I2C1_SCL,CMP0_OUT,,,,,,,,
PA12,SPI0_MOSI/I2S0_SD,USART0_RTS_DE_CK,TIMER0_ETI,SPI1_IO3,,I2S_CKIN,I2C1_SDA,CMP1_OUT,,,,,,,,
PA13,SWDIO,,,TIMER2_ETI,USART1_RX,,,EVENTOUT,,,,,,,,
PA14,SWCLK,USART1_TX,,,,,,EVENTOUT,SPI0_NSS/I2S0_WS,USART1_RX,TIMER0_CH0,CK_OUT1,USART0_RTS_DE_CK,,,
PA15,SPI0_NSS/I2S0_WS,USART1_RX,TIMER0_CH0,CK_OUT1,USART0_RTS_DE_,,,EVENTOUT,,,,,,,,
PB0,SPI0_NSS/I2S0_WS,TIMER2_CH2,TIMER0_CH1_ON,,,,,CMP0_OUT,,,,,,,,
PB1,TIMER13_CH0,TIMER2_CH3,TIMER0_CH2_ON,,,TIMER0_CH1_ON,USART2_RTS_DE_CK,EVENTOUT,,,,,,,,
PB2,USART0_RX,SPI1_MISO,,CK_OUT1,,,,EVENTOUT,,,,,,,,
PB3,SPI0_SCK/I2S0_CK,TIMER0_CH1,,TIMER2_CH1,USART0_RTS_DE_CK,,,EVENTOUT,,,,,,,,
PB4,SPI0_MISO,TIMER2_CH0,,,USART0_CTS,TIMER16_BRKIN0,,EVENTOUT,,,,,,,,
PB5,SPI0_MOSI/I2S0_SD,TIMER2_CH1,TIMER15_BRKIN0,TIMER2_CH2,SPI1_MISO,,I2C0_SMBA,CMP1_OUT,,,,,,,,
PB6,USART0_TX,TIMER0_CH2,TIMER15_CH0_ON,TIMER2_CH2,USART0_RTS_DE_CK,USART0_CTS,I2C0_SCL,I2C0_SMBA,SPI0_MOSI/I2S0_SD,SPI0_MISO,SPI0_SCK/I2S0_CK,TIMER0_CH1,TIMER2_CH0,TIMER2_CH1,TIMER15_BRKIN0,TIMER16_BRKIN0
