PadNumber,PinName,PinType,Alternate,Remap
1,VBAT,power,,
2,PC13-TAMPER-RTC,gpio,,
3,PC14-OSC32IN,gpio,,
4,PC15-OSC32OUT,gpio,,
5,OSCIN-PD0,gpio,,PD0
6,OSCOUT-PD1,gpio,,PD1
7,NRST,reset,,
8,PC0,gpio,,
9,PC1,gpio,,
10,PC2,gpio,,
11,PC3,gpio,,
12,VSSA,ground,,
13,VDDA,power,,
14,PA0-WKUP,gpio,,
15,PA1,gpio,,
16,PA2,gpio,,
17,PA3,gpio,,
18,VSS_4,ground,,
19,VDD_4,power,,
20,PA4,gpio,,
21,PA5,gpio,,SPI2_NSS/I2S2_WS
22,PA6,gpio,,
23,PA7,gpio,,TIMER0_BRKIN
24,PC4,gpio,,TIMER0_CH0_ON
25,PC5,gpio,,
26,PB0,gpio,,
27,PB1,gpio,,TIMER0_CH1_ON
28,PB2,gpio,,TIMER0_CH2_ON
29,PB10,gpio,,
30,PB11,gpio,,TIMER1_CH2
31,VSS_1,ground,,
32,VDD_1,power,,
33,PB12,gpio,,
34,PB13,gpio,,
35,PB14,gpio,,
36,PB15,gpio,,
37,PC6,gpio,,
38,PC7,gpio,,TIMER2_CH0
39,PC8,gpio,,TIMER2_CH1
40,PC9,gpio,,TIMER2_CH2
41,PA8,gpio,,
42,PA9,gpio,,
43,PA10,gpio,,
44,PA11,gpio,,
45,PA12,gpio,,
46,PA13,gpio,,
47,VSS_2,ground,,
48,VDD_2,power,,
49,PA14,gpio,,
50,PA15,gpio,,
51,PC10,gpio,,
52,PC11,gpio,,USART2_TX/SPI2_SCK/I2S2_CK
53,PC12,gpio,,USART2_RX/SPI2_MISO
54,PD2,gpio,,USART2_CK/SPI2_MOSI/I2S2_SD
55,PB3,gpio,,
56,PB4,gpio,,TIMER1_CH1/PB3/SPI0_SCK/TRACESWO
57,PB5,gpio,,
58,PB6,gpio,,TIMER2_CH1/SPI0_MOSI/CAN1_RX
59,PB7,gpio,,USART0_TX/CAN1_TX/SPI0_IO2
60,BOOT0,boot,,USART0_RX/SPI0_IO3
61,PB8,gpio,,
62,PB9,gpio,,I2C0_SCL/CAN0_RX
63,VSS_3,ground,,
64,VDD_3,power,,
