PadNumber,PinName,PinType,Alternate,Remap
1,VBAT,power,,
2,PC13-TAMPER-RTC,gpio,RTC_TAMP0/RTC_TS/RTC_OUT/WKUP1,
3,PC14-OSC32IN,gpio,OSC32IN,
4,PC15-OSC32OUT,gpio,OSC32OUT,
5,PF0-OSCIN,gpio,OSCIN,
6,PF1-OSCOUT,gpio,OSCOUT,
7,NRST,reset,,
8,PC0,gpio,EVENTOUT/ADC_IN10,
9,PC1,gpio,EVENTOUT/ADC_IN11,
10,PC2,gpio,EVENTOUT/ADC_IN12,
11,PC3,gpio,EVENTOUT/ADC_IN13,
12,VSSA,ground,,
13,VDDA,power,,
14,PA0-WKUP,gpio,USART1_CTS/TIMER1_CH0/TIMER1_ETI/I2C1_SCL/ADC_IN0/RTC_TAMP1/WKUP0,
15,PA1,gpio,USART1_RTS/USART1_DE/TIMER1_CH1,
16,PA2,gpio,ADC_IN1/USART1_TX/TIMER1_CH2/TIMER14_CH0/ADC_IN2,
17,PA3,gpio,USART1_RX/TIMER1_CH3/TIMER14_CH1/ADC_IN3,
18,PF4,gpio,SPI1_NSS/EVENTOUT,
19,PF5,gpio,EVENTOUT,
20,PA4,gpio,SPI0_NSS/USART1_CK/TIMER13_CH0/SPI1_NSS/ADC_IN4,
21,PA5,gpio,SPI0_SCK/TIMER1_CH0/TIMER1_ETI/ADC_IN5,
22,PA6,gpio,SPI0_MISO/TIMER2_CH0/TIMER0_BRKIN/TIMER15_CH0/EVENTOUT/ADC_IN6,
23,PA7,gpio,SPI0_MOSI/TIMER2_CH1/TIMER13_CH0/TIMER0_CH0_ON/TIMER16_CH0/EVENTOUT/ADC_IN7,
24,PC4,gpio,EVENTOUT/ADC_IN14,
25,PC5,gpio,ADC_IN15,
26,PB0,gpio,TIMER2_CH2/TIMER0_CH1_ON/USART1_RX/EVENTOUT/ADC_IN8,
27,PB1,gpio,TIMER2_CH3/TIMER13_CH0/TIMER0_CH2_ON/SPI1_SCK/ADC_IN9,
28,PB2,gpio,,
29,PB10,gpio,,
30,PB11,gpio,I2C1_SCL/TIMER1_CH2/I2C1_SDA/TIMER1_CH3/EVENTOUT,
31,VSS,ground,,
32,VDD,power,,
33,PB12,gpio,SPI1_NSS/TIMER0_BRKIN/I2C1_SMBA/EVENTOUT,
34,PB13,gpio,SPI1_SCK/TIMER0_CH0_ON,
35,PB14,gpio,SPI1_MISO/TIMER0_CH1_ON/TIMER14_CH0,
36,PB15,gpio,SPI1_MOSI/TIMER0_CH2_ON/TIMER14_CH0_ON/TIMER14_CH1/RTC_REFIN,
37,PC6,gpio,TIMER2_CH0,
38,PC7,gpio,TIMER2_CH1,
39,PC8,gpio,TIMER2_CH2,
40,PC9,gpio,TIMER2_CH3,
41,PA8,gpio,USART0_CK/TIMER0_CH0/CK_OUT/USART1_TX/EVENTOUT,
42,PA9,gpio,USART0_TX/TIMER0_CH1/TIMER14_BRKIN/I2C0_SCL,
43,PA10,gpio,USART0_RX/TIMER0_CH2/TIMER16_BRKIN/I2C0_SDA,
44,PA11,gpio,USART0_CTS/TIMER0_CH3/EVENTOUT,
45,PA12,gpio,USART0_RTS/USART0_DE/TIMER0_ETI/EVENTOUT,
46,PA13,gpio,IFRP_OUT/SWDIO/SPI1_MISO,
47,PF6,gpio,,
48,PF7,gpio,I2C1_SCL/I2C1_SDA,
49,PA14,gpio,USART1_TX/SWCLK/SPI1_MOSI,
50,PA15,gpio,SPI0_NSS/USART1_RX/TIMER1_CH0/TIMER1_ETI/SPI1_NSS/EVENTOUT,
51,PC10,gpio,,
52,PC11,gpio,,
53,PC12,gpio,,
54,PD2,gpio,TIMER2_ETI,
55,PB3,gpio,SPI0_SCK/TIMER1_CH1/EVENTOUT,
56,PB4,gpio,SPI0_MISO/TIMER2_CH0/EVENTOUT,
57,PB5,gpio,SPI0_MOSI/I2C0_SMBA/TIMER15_BRKIN/TIMER2_CH1,
58,PB6,gpio,I2C0_SCL/USART0_TX/TIMER15_CH0_ON,
59,PB7,gpio,I2C0_SDA/USART0_RX/TIMER16_CH0_ON,
60,BOOT0,boot,,
61,PB8,gpio,I2C0_SCL/TIMER15_CH0,
62,PB9,gpio,I2C0_SDA/IFRP_OUT/TIMER16_CH0/EVENTOUT,
63,VSS,ground,,
64,VDD,power,,
