PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,EXMC_A23,
2,PE3,gpio,EXMC_A19,
3,PE4,gpio,EXMC_A20,
4,PE5,gpio,EXMC_A21,TIMER8_CH0
5,PE6,gpio,EXMC_A22,TIMER8_CH1
6,VBAT,power,,
7,PC13-TAMPER-RTC,gpio,TAMPER-RTC,
8,PC14-OSC32IN,gpio,OSC32IN,
9,PC15-OSC32OUT,gpio,OSC32OUT,
10,VSS_5,ground,,
11,VDD_5,power,,
12,OSCIN,clock,,PD0
13,OSCOUT,clock,,PD1
14,NRST,reset,,
15,PC0,gpio,ADC012_IN10,
16,PC1,gpio,ADC012_IN11,
17,PC2,gpio,ADC012_IN12,
18,PC3,gpio,,
19,VSSA,ground,,
20,VREF-,power,,
21,VREF+,power,,
22,VDDA,power,,
23,PA0-WKUP,gpio,WKUP/USART1_CTS/ADC012_IN0/TIMER1_CH0/TIMER1_ETI/TIMER4_CH0/TIMER7_ETI,
24,PA1,gpio,USART1_RTS/ADC012_IN1/TIMER1_CH1/TIMER4_CH1,
25,PA2,gpio,USART1_TX/ADC012_IN2/TIMER1_CH2/TIMER4_CH2/TIMER8_CH0/SPI0_IO2,
26,PA3,gpio,USART1_RX/ADC012_IN3/TIMER1_CH3/TIMER4_CH3/TIMER8_CH1/SPI0_IO3,
27,VSS_4,ground,,
28,VDD_4,power,,
29,PA4,gpio,SPI0_NSS/USART1_CK/ADC01_IN4/DAC0_OUT0,SPI2_NSS/I2S2_WS
30,PA5,gpio,SPI0_SCK/ADC01_IN5/DAC0_OUT1,
31,PA6,gpio,SPI0_MISO/ADC01_IN6/TIMER2_CH0/TIMER7_BRKIN/TIMER12_CH0,TIMER0_BRKIN
32,PA7,gpio,SPI0_MOSI/ADC01_IN7/TIMER2_CH1/TIMER7_CH0_ON/TIMER13_CH0,TIMER0_CH0_ON
33,PC4,gpio,ADC01_IN14,
34,PC5,gpio,ADC01_IN15,
35,PB0,gpio,ADC01_IN8/TIMER2_CH2/TIMER7_CH1_ON,TIMER0_CH1_ON
36,PB1,gpio,ADC01_IN9/TIMER2_CH3/TIMER7_CH2_ON,TIMER0_CH2_ON
37,PB2,gpio,,
38,PE7,gpio,EXMC_D4,TIMER0_ETI
39,PE8,gpio,EXMC_D5,TIMER0_CH0_ON
40,PE9,gpio,EXMC_D6,TIMER0_CH0
41,PE10,gpio,EXMC_D7,TIMER0_CH1_ON
42,PE11,gpio,EXMC_D8,TIMER0_CH1
43,PE12,gpio,EXMC_D9,TIMER0_CH2_ON
44,PE13,gpio,EXMC_D10,TIMER0_CH2
45,PE14,gpio,EXMC_D11,TIMER0_CH3
46,PE15,gpio,EXMC_D12,TIMER0_BRKIN
47,PB10,gpio,I2C1_SCL/USART2_TX,TIMER1_CH2
48,PB11,gpio,I2C1_SDA/USART2_RX,TIMER1_CH3
49,VSS_1,ground,,
50,VDD_1,power,,
51,PB12,gpio,SPI1_NSS/I2C1_SMBA/USART2_CK/TIMER0_BRKIN/I2S1_WS,
52,PB13,gpio,SPI1_SCK/USART2_CTS/TIMER0_CH0_ON/I2S1_CK,
53,PB14,gpio,SPI1_MISO/USART2_RTS/TIMER0_CH1_ON/TIMER11_CH0,
54,PB15,gpio,SPI1_MOSI/TIMER0_CH2_ON/I2S1_SD/TIMER11_CH1,
55,PD8,gpio,EXMC_D13,USART2_TX
56,PD9,gpio,EXMC_D14,USART2_RX
57,PD10,gpio,EXMC_D15,USART2_CK
58,PD11,gpio,EXMC_A16,USART2_CTS
59,PD12,gpio,EXMC_A17,TIMER3_CH0/USART2_RTS
60,PD13,gpio,EXMC_A18,TIMER3_CH1
61,PD14,gpio,EXMC_D0,TIMER3_CH2
62,PD15,gpio,EXMC_D1,TIMER3_CH3/CTC_SYNC
63,PC6,gpio,I2S1_MCK/TIMER7_CH0/SDIO_D6,TIMER2_CH0
64,PC7,gpio,I2S2_MCK/TIMER7_CH1/SDIO_D7,TIMER2_CH1
65,PC8,gpio,TIMER7_CH2/SDIO_D0,TIMER2_CH2
66,PC9,gpio,,
67,PA8,gpio,TIMER7_CH3/SDIO_D1/USART0_CK/TIMER0_CH0/CK_OUT0/CTC_SYNC,TIMER2_CH3
68,PA9,gpio,USART0_TX/TIMER0_CH1,
69,PA10,gpio,USART0_RX/TIMER0_CH2,
70,PA11,gpio,USART0_CTS/CAN0_RX/USBDM/TIMER0_CH3,
71,PA12,gpio,USART0_RTS/CAN0_TX/TIMER0_ETI/USBDP,
72,PA13,gpio,,
73,NC,nc,,
74,VSS_2,ground,,
75,VDD_2,power,,
76,PA14,gpio,,
77,PA15,gpio,,
78,PC10,gpio,UART3_TX/SDIO_D2,USART2_TX/SPI2_SCK/I2S2_CK
79,PC11,gpio,UART3_RX/SDIO_D3,USART2_RX/SPI2_MISO
80,PC12,gpio,UART4_TX/SDIO_CK,USART2_CK/SPI2_MOSI/I2S2_SD
81,PD0,gpio,EXMC_D2,CAN0_RX
82,PD1,gpio,EXMC_D3,CAN0_TX
83,PD2,gpio,TIMER2_ETI/SDIO_CMD/UART4_RX,
84,PD3,gpio,EXMC_CLK,USART1_CTS
85,PD4,gpio,EXMC_NOE,USART1_RTS
86,PD5,gpio,EXMC_NWE,USART1_TX
87,PD6,gpio,EXMC_NWAIT,USART1_RX
88,PD7,gpio,EXMC_NE0/EXMC_NCE1,USART1_CK
89,PB3,gpio,,
90,PB4,gpio,,
91,PB5,gpio,I2C0_SMBA/SPI2_MOSI/I2S2_SD,TIMER2_CH1/SPI0_MOSI
92,PB6,gpio,I2C0_SCL/TIMER3_CH0,USART0_TX/SPI0_IO2
93,PB7,gpio,I2C0_SDA/TIMER3_CH1/EXMC_NADV,USART0_RX/SPI0_IO3
94,BOOT0,boot,,
95,PB8,gpio,TIMER3_CH2/SDIO_D4/TIMER9_CH0,I2C0_SCL/CAN0_RX
96,PB9,gpio,TIMER3_CH3/SDIO_D5/TIMER10_CH0,I2C0_SDA/CAN0_TX
97,PE0,gpio,TIMER3_ETI/EXMC_NBL0,
98,PE1,gpio,EXMC_NBL1,
99,VSS_3,ground,,
100,VDD_3,power,,
