PinName,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PA0,,TIMER1_CH0/TIMER1_ETI,TIMER4_CH0,TIMER7_ETI,,,,USART1_CTS,UART3_TX,,,ENET_MII_CRS,,,,EVENTOUT
PA1,,TIMER1_CH1,TIMER4_CH1,,,,,USART1_RTS,UART3_RX,,,ENET_MII_RX_CLK/ENET_RMI_I_REF_CLK,,,,EVENTOUT
PA2,,TIMER1_CH2,TIMER4_CH2,TIMER8_CH0,,I2S_CKIN,,USART1_TX,,,,ENET_MDIO,,,,EVENTOUT
PA3,,TIMER1_CH3,TIMER4_CH3,TIMER8_CH1,,I2S1_MCK,,USART1_RX,,,USBHS_ULPI_D0,ENET_MII_COL,,,,EVENTOUT
PA4,,,,,,SPI0_NSS,SPI2_NSS/I2S2_WS,USART1_CK,,,,,USBHS_SOF,DCI_HSYNC,,EVENTOUT
PA5,,TIMER1_CH0/TIMER1_ETI,,TIMER7_CH0_ON,,SPI0_SCK,,,,,USBHS_ULPI_CK,,,,,EVENTOUT
PA6,,TIMER0_BRKin,TIMER2_CH0,TIMER7_BRkin,,SPI0_MISO,I2S1_MCK,,,TIMER12_CH0,,,SDIO_CMD,DCI_PIXCLK,,EVENTOUT
PA7,,TIMER0_CH0_ON,TIMER2_CH1,TIMER7_CH0_ON,,SPI0_MOSI,,,,TIMER13_CH0,,ENET_MII_RX_DVENET_RMII_CRS_DV,EXMC_SDNWE,,,EVENTOUT
PA8,CK_OUT0,TIMER0_CH0,,,I2C2_SCL,,,USART0_CK,,CTC_SYNC,USBFS_SOF,,SDIO_D1,,,EVENTOUT
PA9,,TIMER0_CH1,,,I2C2_SMBA,SPI1_SCK/I2S1_CK,,USART0_TX,,,,,SDIO_D2,DCI_D0,,EVENTOUT
PA10,,TIMER0_CH2,,,I2C2_TXFRAME,,,USART0_RX,,,USBFS_ID,,,DCI_D1,,EVENTOUT
PA11,,TIMER0_CH3,,,,,,USART0_CTS,USART5_TX,CAN0_RX,USBFS_DM,,,,,EVENTOUT
PA12,,TIMER0_ETI,,,,,,USART0_RTS,USART5_RX,CAN0_TX,USBFS_DP,,,,,EVENTOUT
PA13,JTMS/SWDIO,,,,,,,,,,,,,,,EVENTOUT
PA14,JTCK/SWCLK,,,,,,,,,,,,,,,EVENTOUT
PA15,JTDI,TIMER1_CH0/TIMER1_ETI,,,,SPI0_NSS,SPI2_NSS/I2S2_WS,USART0_TX,,,,,,,,EVENTOUT
PB0,,TIMER0_CH1_ON,TIMER2_CH2,TIMER7_CH1_ON,,,,SPI2_MOSI/2S2_SD,,,USBHS_ULPI_D1,ENET_MII_RXD2,SDIO_D1,,,EVENTOUT
PB1,,TIMER0_CH2_ON,TIMER2_CH3,TIMER7_CH2_ON,,,,,,,USBHS_ULPI_D2,ENET_MII_RXD3,SDIO_D2,,,EVENTOUT
PB2,,TIMER1_CH3,,,,,,SPI2_MOSI/2S2_SD,,,USBHS_ULPI_D4,,SDIO_CK,,,EVENTOUT
PB3,JTDO/TRACESWO,TIMER1_CH1,,,,SPI0_SCK,SPI2_SCK/I2S2_CK,USART0_RX,,I2C1_SDA,,,,,,EVENTOUT
PB4,NJTRST,,TIMER2_CH0,,I2C0_TXFRAME,SPI0_MISO,SPI2_MISO,I2S2_ADD_SD,,I2C2_SDA,,,SDIO_D0,,,EVENTOUT
PB5,,,TIMER2_CH1,,I2C0_SMBA,SPI0_MOSI,SPI2_MOSI/2S2_SD,,,CAN1_RX,USBHS_ULPI_D7,ENET_PPS_OUT,EXMC_SDCKE1,DCI_D10,,EVENTOUT
PB6,,,TIMER3_CH0,,I2C0_SCL,,,USART0_TX,,CAN1_TX,,,EXMC_SDNE1,DCI_D5,,EVENTOUT
PB7,,,TIMER3_CH1,,I2C0_SDA,,,USART0_RX,,,,,EXMC_NL/EXMC_NADV,DCI_VSYNC,,EVENTOUT
PB8,,TIMER1_CH0/TIMER1_ETI,TIMER3_CH2,TIMER9_CH0,I2C0_SCL,,,,,CAN0_RX,,ENET_MII_TXD3,SDIO_D4,DCI_D6,,EVENTOUT
PB9,,TIMER1_CH1,TIMER3_CH3,TIMER10_CHO,I2C0_SDA,SPI1_NSS/I2S1_WS,,,,CAN0_TX,,,SDIO_D5,DCI_D7,,EVENTOUT
PB10,,TIMER1_CH2,,,I2C1_SCL,SPI1_SCK/I2S1_CK,I2S2_MCK,USART2_TX,,,USBHS_ULPI_D3,ENET_MII_RX_ER,SDIO_D7,,,EVENTOUT
PB11,,TIMER1_CH3,,,I2C1_SDA,I2S_CKin,,USART2_RX,,,USBHS_ULPI_D4,ENET_MII_TX_EN/ENET_RMII_TX_EN,,,,EVENTOUT
PB12,,TIMER0_BRKIN,,,I2C1_SMBA,SPI1_NSS/I2S1_WS,,USART2_CK,,CAN1_RX,USBHS_ULPI_D5,ENET_MII_TXD0/ENET_RMII_TXD0,USBHS_ID,,,EVENTOUT
PB13,,TIMER0_CH0_ON,,,I2C1_TXFRAME,SPI1_SCK/I2S1_CK,,USART2_CTS,,CAN1_TX,USBHS_ULPI_D6,ENET_MII_TXD1/ENET_RMII_TXD1,,,,EVENTOUT
PB14,,TIMER0_CH1_ON,,TIMER7_CH1_ON,,SPI1_MISO,I2S1_ADD_SD,USART2_RTS,,TIMER11_CH0,,,USBHS_DM,,,EVENTOUT
PB15,RTC_REFIN,TIMER0_CH2_ON,,TIMER7_CH2_ON,,SPI1_MOSI/I2S1_SD,,,,TIMER11_CH1,,,USBHS_DP,,,EVENTOUT
PC0,,,,,,,,,,,USBHS_ULPI_STP,,EXMC_SDNWE,,,EVENTOUT
PC1,,,,,,SPI2_MOSI/I2S2_SD,,SPI1_MOSI/I2S1_SD,,,,ENET_MDC,,,,EVENTOUT
