PadNumber,PinName,PinType
1,PE2,gpio
2,PE3,gpio
3,PE4,gpio
4,PE5,gpio
5,PE6,gpio
6,VBAT,power
7,PC13-TAMPER-RTC,gpio
8,PC14-OSC32IN,gpio
9,PC15-OSC32OUT,gpio
10,VSS,ground
11,VDD,power
12,PH0/OSCIN,gpio
13,PH1/OSCOUT,gpio
14,NRST,reset
15,PC0,gpio
16,PC1,gpio
17,PC2,gpio
18,PC3,gpio
19,VDD,power
20,VSSA,ground
21,VREF+,power
22,VDDA,power
23,PA0-WKUP,gpio
24,PA1,gpio
25,PA2,gpio
26,PA3,gpio
27,VSS,ground
28,VDD,power
29,PA4,gpio
30,PA5,gpio
31,PA6,gpio
32,PA7,gpio
33,PC4,gpio
34,PC5,gpio
35,PB0,gpio
36,PB1,gpio
37,PB2,gpio
38,PE7,gpio
39,PE8,gpio
40,PE9,gpio
41,PE10,gpio
42,PE11,gpio
43,PE12,gpio
44,PE13,gpio
45,PE14,gpio
46,PE15,gpio
47,PB10,gpio
48,PB11,gpio
49,NC,nc
50,VDD,power
51,PB12,gpio
52,PB13,gpio
53,PB14,gpio
54,PB15,gpio
55,PD8,gpio
56,PD9,gpio
57,PD10,gpio
58,PD11,gpio
59,PD12,gpio
60,PD13,gpio
61,PD14,gpio
62,PD15,gpio
63,PC6,gpio
64,PC7,gpio
65,PC8,gpio
66,PC9,gpio
67,PA8,gpio
68,PA9,gpio
69,PA10,gpio
70,PA11,gpio
71,PA12,gpio
72,PA13,gpio
73,NC,nc
74,VSS,ground
75,VDD,power
76,PA14,gpio
77,PA15,gpio
78,PC10,gpio
79,PC11,gpio
80,PC12,gpio
81,PD0,gpio
82,PD1,gpio
83,PD2,gpio
84,PD3,gpio
85,PD4,gpio
86,PD5,gpio
87,PD6,gpio
88,PD7,gpio
89,PB3,gpio
90,PB4,gpio
91,PB5,gpio
92,PB6,gpio
93,PB7,gpio
94,BOOT0,gpio
95,PB8,gpio
96,PB9,gpio
97,PE0,gpio
98,PE1,gpio
99,VSS,ground
100,VDD,power
