BallName,PinName,PinType,Alternate,Remap
A1,PE3,gpio,EXMC_A19/EVENTOUT,
A2,PE2,gpio,SPI3_SCK/ENET_MII_TXD3/EXMC_A23/EVENTOUT,
A3,PE1,gpio,TIMER0_CH1_ON/UART7_TX/EXMC_NBL1/DCI_D3/EVENTOUT,
A4,PE0,gpio,TIMER3_ETI/UART7_RX/EXMC_NBL0/DCI_D2/EVENTOUT,
A5,PB8,gpio,TIMER1_CH0/TIMER1_ETI/TIMER3_CH2/TIMER9_CH0/I2C0_SCL/SPI4_MOSI/CAN0_RX/ENET_MII_TXD3/SDIO_D4/DCI_D6/TLI_B6/EVENTOUT,
A6,PB5,gpio,,
A7,PG14,gpio,SPI5_MOSI/SPI3_NSS/USART5_TX/ENET_MII_TXD1/ENET_RMII_TXD1/EXMC_A25/EVENTOUT,
A8,PG13,gpio,SPI5_SCK/SPI3_MOSI/USART5_CTS/ENET_MII_TXD0/ENET_RMII_TXD0/EXMC_A24/EVENTOUT,
A9,PB4,gpio,,
A10,PB3,gpio,,
A11,PD7,gpio,USART1_CK/EXMC_NE0/EXMC_NCE1/EVENTOUT,
A12,PC12,gpio,I2C1_SDA/SPI2_MOSI/I2S2_SD/USART2_CK/UART4_TX/SDIO_CK/DCI_D9/EVENTOUT,
A13,PA15,gpio,,
A14,PA14,gpio,,
A15,PA13,gpio,,
B1,PE4,gpio,SPI3_NSS/EXMC_A20/DCI_D4/TLI_B0/EVENTOUT,
B2,PE5,gpio,TIMER8_CH0/SPI3_MISO/EXMC_A21/DCI_D6/TLI_G0/EVENTOUT,
B3,PE6,gpio,TIMER8_CH1/SPI3_MOSI/EXMC_A22/DCI_D7/TLI_G1/EVENTOUT,
B4,PB9,gpio,TIMER1_CH1/TIMER3_CH3/TIMER10_CH0/I2C0_SDA/SPI1_NSS/I2S1_WS/CAN0_TX/SDIO_D5/DCI_D7/TLI_B7/EVENTOUT,
B5,PB7,gpio,TIMER3_CH1/I2C0_SDA/USART0_RX/EXMC_NL/EXMC_NADV/DCI_VSYNC/EVENTOUT,
B6,PB6,gpio,TIMER2_CH1/I2C0_SMBA/SPI0_MOSI/SPI2_MOSI/I2S2_SD/CAN1_RX/USBHS_ULPI_D7/ENET_PPS_OUT/EXMC_SDCKE1/DCI_D10/EVENTOUT/TIMER3_CH0/I2C0_SCL/USART0_TX/CAN1_TX/EXMC_SDNE1/DCI_D5,
B7,PG15,gpio,USART5_CTS/EXMC_SDNCAS/DCI_D13/EVENTOUT,
B8,PG12,gpio,SPI5_MISO/SPI3_MISO/USART5_RTS/TLI_B4/EXMC_NE3/TLI_B1/EVENTOUT,
B9,PG11,gpio,SPI5_IO3/SPI3_SCK/ENET_MII_TX_EN/ETH_RMII_TX_EN/EXMC_NCE3_1/DCI_D3/TLI_B3/EVENTOUT,
B10,PG10,gpio,SPI5_IO2/TLI_G3/EXMC_NCE3_0/EXMC_NE2/DCI_D2/TLI_B2/EVENTOUT,
B11,PD6,gpio,SPI2_MOSI/I2S2_SD/USART1_RX/EXMC_NWAIT/DCI_D10/TLI_B2/EVENTOUT,
B12,PD0,gpio,SPI3_MISO/SPI2_MOSI/I2S2_SD/CAN0_RX/EXMC_D2/EVENTOUT,
B13,PC11,gpio,I2S2_ADD_SD/SPI2_MISO/USART2_RX/UART3_RX/SDIO_D3/DCI_D4/EVENTOUT,
B14,PC10,gpio,SPI2_SCK/I2S2_CK/USART2_TX/UART3_TX/SDIO_D2/DCI_D8/TLI_R2/EVENTOUT,
B15,PA12,gpio,TIMER0_ETI/SPI4_MISO/USART0_RTS/USART5_RX/CAN0_TX/USBFS_DP/TLI_R5/EVENTOUT,
C1,VBAT,power,,
C2,PI7,gpio,TIMER7_CH2/EXMC_D29/DCI_D7/TLI_B7/EVENTOUT,
C3,PI6,gpio,TIMER7_CH1/EXMC_D28/DCI_D6/TLI_B6/EVENTOUT,
C4,PI5,gpio,TIMER7_CH0/EXMC_NBL3/DCI_VSYNC/TLI_B5/EVENTOUT,
C5,VDD,power,,
C6,PDR_ON,power,,
C7,VDD,power,,
C8,VDD,power,,
C9,VDD,power,,
C10,PG9,gpio,USART5_RX/EXMC_NE1/EXMC_NCE2/DCI_VSYNC/EVENTOUT,
C11,PD5,gpio,USART1_TX/EXMC_NWE/EVENTOUT,
C12,PD1,gpio,SPI1_NSS/I2S1_WS/CAN0_TX/EXMC_D3/EVENTOUT,
C13,PI3,gpio,TIMER7_ETI/SPI1_MOSI/I2S1_SD/EXMC_D27/DCI_D10/EVENTOUT,
C14,PI2,gpio,TIMER7_CH3/SPI1_MISO/I2S1_ADD_SD/EXMC_D26/DCI_D9/TLI_G7/EVENTOUT,
C15,PA11,gpio,TIMER0_CH3/SPI3_MISO/USART0_CTS/USART5_TX/CAN0_RX/USBFS_DM/TLI_R4/EVENTOUT,
D1,PC13-TAMPER-RTC,gpio,EVENTOUT/RTC_TAMP0/RTC_OUT/RTC_TS,
D2,PI8,gpio,EVENTOUT/RTC_TAMP1/RTC_TAMP0/RTC_TS,
D3,PI9,gpio,CAN0_RX/EXMC_D30/TLI_VSYNC/EVENTOUT,
D4,PI4,gpio,TIMER7_BRKIN/EXMC_NBL2/DCI_D5/TLI_B4/EVENTOUT,
D5,VSS,ground,,
D6,BOOT0,boot,,
D7,VSS,ground,,
D8,VSS,ground,,
D9,VSS,ground,,
D10,PD4,gpio,USART1_RTS/EXMC_NOE/EVENTOUT,
D11,PD3,gpio,SPI1_SCK/I2S1_CK/USART1_CTS/EXMC_CLK/DCI_D5/TLI_G7/EVENTOUT,
D12,PD2,gpio,TIMER2_ETI/UART4_RX/SDIO_CMD/DCI_D11/EVENTOUT,
D13,PH15,gpio,,
D14,PI1,gpio,SPI1_SCK/I2S1_CK/EXMC_D25/DCI_D8/TLI_G6/EVENTOUT,
D15,PA10,gpio,TIMER0_CH2/SPI4_MOSI/USART0_RX/USBFS_ID/DCI_D1/EVENTOUT/I2C2_TXFRAME,
E1,PC14-OSC32IN,gpio,EVENTOUT/OSC32IN,
E2,PF0,gpio,,
E3,PI10,gpio,ENET_MII_RX_ER/EXMC_D31/TLI_HSYNC/EVENTOUT,
E4,PI11,gpio,USBHS_ULPI_DIR/EVENTOUT,
E12,PH13,gpio,TIMER7_CH0_ON/CAN0_TX/EXMC_D21/TLI_G2/EVENTOUT,
E13,PH14,gpio,TIMER7_CH1_ON/EXMC_D22/DCI_D4/TLI_G3/EVENTOUT,
E14,PI0,gpio,TIMER7_CH2_ON/EXMC_D23/DCI_D11/TLI_G4/EVENTOUT/TIMER4_CH3/SPI1_NSS/I2S1_WS/EXMC_D24/DCI_D13/TLI_G5,
E15,PA9,gpio,TIMER0_CH1/I2C2_SMBA/SPI1_SCK/I2S1_CK/USART0_TX/SDIO_D2/DCI_D0/EVENTOUT/USBFS_VBUS,
F1,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
F2,VSS,ground,,
F3,VDD,power,,
F4,PH2,gpio,ENET_MII_CRS/EXMC_SDCKE0/TLI_R0/EVENTOUT,
F12,VSS,ground,,
F13,NC,nc,,
F14,PC9,gpio,CK_OUT1/TIMER2_CH3/TIMER7_CH3/I2C2_SDA/I2S_CKIN/SDIO_D1/DCI_D3/EVENTOUT,
F15,PA8,gpio,CK_OUT0/TIMER0_CH0/I2C2_SCL/USART0_CK/USBFS_SOF/SDIO_D1/TLI_R6/EVENTOUT/CTC_SYNC,
G1,PH0/OSCIN,gpio,,
