PinName,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PA0,,TIMER1_CH0,TIMER4_CH0,,,,UART3_TX,USART1_CTS,CMP0_OUT,TIMER7_BRKIN0,TIMER7_ETI,EXMC_A13(1),HRTIMER_ST6CH0,TRIGSEL_IN0,TIMER1_ETI,EVENTOUT
PA1,RTC_REFIN,TIMER1_CH1,TIMER4_CH1,,,,UART3_RX,USART1_RTS/USART1_DE,,TIMER14_MCH0,,EXMC_A14(1),HRTIMER_ST6CH1,TRIGSEL_IN1,,EVENTOUT
PA2,,TIMER1_CH2,TIMER4_CH2,CLA0OUT,,,,USART1_TX,CMP1_OUT,TIMER14_CH0,QSPI_CSN(5)(8),EXMC_A15(1),HRTIMER_ST7CH0,TRIGSEL_IN7,CK_HPDFAUDIO,EVENTOUT
PA3,,TIMER1_CH3,TIMER4_CH3,,,,,USART1_RX,,TIMER14_CH1,QSPI_SCK(5),EXMC_A16(1),HRTIMER_ST7CH1,TRIGSEL_IN4,,EVENTOUT
PA4,,,TIMER2_CH1,,,SPI0_NSS,SPI2_NSS,USART1_CK,,,,EXMC_A17(1),HRTIMER_ST2CH0,,,EVENTOUT
PA5,,TIMER1_CH0,TIMER1_ETI,,,SPI0_SCK,,USART2_TX,,,,EXMC_A18(1),HRTIMER_ST2CH1,,,EVENTOUT
PA6,,TIMER15_CH0,TIMER2_CH0,,TIMER7_BRKIN0,SPI0_MISO,TIMER0_BRKIN0,USART2_RX,CMP0_OUT,,QSPI_IO3(5),EXMC_A19(1),HRTIMER_ST3CH0,,CK_HPDFAUDIO,EVENTOUT
PA7,,TIMER16_CH0,TIMER2_CH1,CLA1OUT,TIMER7_MCH0,SPI0_MOSI,TIMER0_MCH0,,CMP1_OUT,,QSPI_IO2(5),EXMC_A20(1),HRTIMER_ST3CH1,TRIGSEL_IN5,UART4_TX,EVENTOUT
PA8,CK_OUT,,I2C2_SCL,,I2C1_SDA,,TIMER0_CH0,USART0_CK,CMP6_OUT,EXMC_A21(1),TIMER3_ETI,CAN2_RX,SPI1_NSS,HRTIMER_ST0CH0,UART4_RX,EVENTOUT
PA9,,,I2C2_SMBA,,I2C1_SCL,,TIMER0_CH1,USART0_TX,CMP4_OUT,TIMER14_BRKIN0,TIMER1_CH2,EXMC_A22(1),SPI1_SCK,HRTIMER_ST0CH1,TRIGSEL_IN13,EVENTOUT
PA10,,TIMER16_BRKIN0,,CLA2OUT,I2C1_SMBA,SPI1_MISO,TIMER0_CH2,USART0_RX,CMP5_OUT,EXMC_A23(1),TIMER1_CH3,TIMER7_BRKIN0,,HRTIMER_ST1CH0,TRIGSEL_IN12,EVENTOUT
PA11,,,,CLA3OUT,EXMC_A24(1),SPI1_MOSI,TIMER0_MCH0,USART0_CTS,CMP0_OUT,CAN0_RX,TIMER3_CH0,TIMER0_CH3,TIMER0_BRKIN2,HRTIMER_ST1CH1,TRIGSEL_IN13,EVENTOUT
PA12,,TIMER15_CH0,,,EXMC_A25(1),,TIMER0_MCH1,USART0_RTS/USART0_DE,CMP1_OUT,CAN0_TX,TIMER3_CH1,TIMER0_ETI,,HRTIMER_FLT0,TRIGSEL_IN12,EVENTOUT
PA13,JTMS/SWDIO,TIMER15_MCH0,TIMER0_BRKIN1,I2C3_SCL,I2C0_SCL,IFRP_OUT,TIMER7_BRKIN1,USART2_CTS,CMP7_OUT,EXMC_A5(1),TIMER3_CH2,,,TRIGSEL_IN10,,EVENTOUT
PA14,JTCK/SWCLK,LPTIMER_OUT,,I2C3_SMBA,I2C0_SDA,TIMER7_CH1,TIMER0_BRKIN0,USART1_TX,CMP7_OUT,,,,,TRIGSEL_IN11,,EVENTOUT
PA15,JTDI,TIMER1_CH0,TIMER7_CH0,CLA3OUT,I2C0_SCL,SPI0_NSS,SPI2_NSS,USART1_RX,UART3_RTS/UART3_DE,TIMER0_BRKIN0,,CAN2_TX,TRIGSEL_OUT0,HRTIMER_FLT1,TIMER1_ETI,EVENTOUT
PB0,,,TIMER2_CH2,CLA1OUT,TIMER7_MCH1,HPDF_CKOUT,TIMER0_MCH1,,,HRTIMER_ST4CH0,QSPI_IO1(5),EXMC_A1(1),TRIGSEL_OUT3,HRTIMER_FLT4,,EVENTOUT
PB1,,,TIMER2_CH3,,TIMER7_MCH2,HPDF_DATAIN1,TIMER0_MCH2,TIMER19_MCH0,CMP3_OUT,HRTIMER_ST4CH1,QSPI_IO0(5),EXMC_A2(1),TRIGSEL_OUT4,HRTIMER_SCOUT,,EVENTOUT
PB2,RTC_OUT1,LPTIMER_OUT,TIMER4_CH0,TIMER19_CH0,I2C2_SMBA,HPDF_CKIN1,,,,HRTIMER_ST5CH0,QSPI_IO1(5),EXMC_A3(1),,HRTIMER_SCIN,,EVENTOUT
PB3,JTDO,TIMER1_CH1,TIMER3_ETI,CLA0OUT,TIMER7_MCH0,SPI0_SCK,SPI2_SCK,USART1_TX,,HRTIMER_ST5CH1,TIMER2_ETI,CAN2_RX,HRTIMER_SCOUT,HRTIMER_EXEV8,TRIGSEL_OUT7,EVENTOUT
PB4,NJTRST,TIMER15_CH0,TIMER2_CH0,CLA1OUT,TIMER7_MCH1,SPI0_MISO,SPI2_MISO,USART1_RX,UART4_RTS/UART4_DE,,TIMER16_BRKIN0,CAN2_TX,,HRTIMER_EXEV6,TRIGSEL_OUT6,EVENTOUT
PB5,HPDF_CKIN0,TIMER15_BRKIN0,TIMER2_CH1,TIMER7_MCH2,I2C0_SMBA,SPI0_MOSI,SPI2_MOSI,USART1_CK,I2C2_SDA,CAN1_RX,TIMER16_CH0,LPTIMER_IN0,CLA2OUT,HRTIMER_EXEV5,UART4_CTS,EVENTOUT
PB6,HPDF_DATAIN5,TIMER15_MCH0,TIMER3_CH0,,I2C0_SCL,TIMER7_CH0,TIMER7_ETI,USART0_TX,CMP3_OUT,CAN1_TX,TIMER7_BRKIN2,LPTIMER_ETI0,HRTIMER_SCIN,HRTIMER_EXEV3,EXMC_A4(1),EVENTOUT
