PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,TIMER2_CH0/TIMER19_CH0/HRTIMER_ST7CH0/EXMC_A23/EVENTOUT,
2,PE3,gpio,TIMER2_CH1/TIMER19_CH1/HRTIMER_ST7CH1/EXMC_A19/EVENTOUT,
3,PE4,gpio,TIMER0_BRKIN1/TIMER2_CH2/HPDF_DATAIN3/TIMER19_MCH0/EXMC_A20/EVENTOUT,
4,PE5,gpio,TIMER2_CH3/HPDF_CKIN3/TIMER19_MCH1/EXMC_A21/EVENTOUT,
5,PE6,gpio,TIMER19_MCH2/EXMC_A22/EVENTOUT/WKUP2/RTC_TAMP2,
6,VBAT,power,,
7,PC13,gpio,TIMER0_BRKIN0/TIMER0_MCH0/TIMER7_MCH3/EVENTOUT/WKUP1/RTC_TAMP0/RTC_TS/RTC_OUT0,
8,PC14-OSC32IN,gpio,EVENTOUT/OSC32IN,
9,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
10,PF9,gpio,TIMER19_BRKIN0/TIMER14_CH0/SPI1_SCK/TIMER4_CH3/QSPI_IO1/EXMC_A25/EVENTOUT,
11,PF10,gpio,USART0_RTS/USART0_DE/TIMER19_BRKIN2/TIMER14_CH1/SPI1_SCK/QSPI_SCK/EXMC_A0/EVENTOUT,
12,OSCIN-PF0,gpio,,
13,OSCOUT-PF1,gpio,TIMER19_BRKIN1/SPI1_SCK/EVENTOUT,
14,NRST-PG10,reset,ADC1_IN9/CMP2_IM/OSCOUT/CLAIN17/CK_OUT/EVENTOUT/PG10,
15,PC0,gpio,USART0_RX/LPTIMER_IN0/TIMER0_CH0/HPDF_CKIN0/HPDF_DATAIN4/TRIGSEL_IN8/EXMC_CLK/EVENTOUT/ADC01_IN5/CMP2_IM,
16,PC1,gpio,USART0_TX/LPTIMER_OUT/TIMER0_CH1/HPDF_CKIN4/HPDF_DATAIN0/QSPI_IO0/TRIGSEL_IN9/EXMC_NOE/EVENTOUT/ADC01_IN6/CMP2_IP,
