BallName,PinName,PinType,Alternate,Remap
A1,PC14-OSC32IN,gpio,EVENTOUT/OSC32IN,
A2,PC13,gpio,EVENTOUT/RTC_TAMP0/RTC_TS/WKUP3/RTC_OUT,
A3,PE2,gpio,TRACECK/SAI0_CLK0/SPI3_SCK/SAI0_MCLK0/OSPIM_P0_IO2/EXMC_A23/EVENTOUT,
A4,PB9,gpio,TIMER16_CH0/TIMER3_CH3/HPDF_DATAIN7/I2C0_SDA/SPI1_NSS/I2S1_WS/I2C3_SDA/SDIO0_CMDDIR/UART3_TX/CAN0_TX/SDIO1_D5/I2C3_SMBA/SDIO0_D5/DCI_D7/TLI_B7/EVENTOUT,
A5,PB7,gpio,TIMER16_MCH0/TIMER3_CH1/I2C0_SDA/I2C3_SDA/USART0_RX/HPDF_CKIN5/EXMC_NL/EXMC_NADV/DCI_VSYNC/EVENTOUT/LVD_IN,
A6,PB4,gpio,,
A7,PB3,gpio,,
A8,PA15,gpio,,
A9,PA14,gpio,,
A10,PA13,gpio,,
B1,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
B2,VBAT,power,,
B3,PE3,gpio,TRACED0/TIMER14_BRKIN0/SAI0_SD1/EXMC_A19/DCI_PIXCLK/EVENTOUT,
B4,PB8,gpio,TIMER15_CH0/TIMER3_CH2/HPDF_CKIN7/I2C0_SCL/I2C3_SCL/SDIO0_CKIN/UART3_RX/CAN0_RX/SDIO1_D4/SDIO0_D4/DCI_D6/TLI_B6/EVENTOUT,
B5,PB6,gpio,TIMER15_MCH0/TIMER3_CH0/EXMC_D11/I2C0_SCL/I2C3_SCL/USART0_TX/CAN1_TX/OSPIM_P0_CSN/HPDF_DATAIN5/EXMC_SDNE1/DCI_D5/UART4_TX/EVENTOUT,
B6,PD5,gpio,TIMER7_CH3/USART1_TX/OSPIM_P0_IO5/EXMC_NWE/EVENTOUT,
B7,PD2,gpio,TRACED2/EXMC_D7/TIMER2_ETI/TIMER14_BRKIN0/UART4_RX/TLI_B7/SDIO0_CMD/DCI_D11/TLI_B2/EVENTOUT,
B8,PC11,gpio,TIMER0_ETI/HPDF_DATAIN5/SPI2_MISO/USART2_RX/UART3_RX/OSPIM_P0_CSN/EXMC_NBL2/MDIO_A2/SDIO0_D3/DCI_D4/TLI_B4/EVENTOUT,
B9,PC10,gpio,TIMER0_CH3/HPDF_CKIN5/SPI2_SCK/I2S2_CK/USART2_TX/UART3_TX/OSPIM_P0_IO1/TLI_B1/MDIO_A1/SDIO0_D2/DCI_D8/TLI_R2/EVENTOUT,
B10,USBHS0_DP,gpio,,
C1,PH0-OSCIN,gpio,EVENTOUT/OSCIN,
C2,VSS,ground,,
C3,PE4,gpio,TRACED1/TIMER0_BRKIN1/SAI0_DAT1/HPDF_DATAIN3/TIMER14_MCH0/SPI3_NSS/SAI0_FS0/EXMC_A20/DCI_D4/TLI_B0/EVENTOUT,
C4,PE1,gpio,UART7_TX/EXMC_NBL1/DCI_D3/TLI_R6/EVENTOUT,
C5,PB5,gpio,TIMER16_BRKIN0/TIMER2_CH1/TLI_B5,
C6,PD6,gpio,SAI1_DAT0/SAI0_DAT0/HPDF_CKIN4/HPDF_DATAIN1/SPI2_MOSI/I2S2_SD/SAI0_SD0/USART1_RX/OSPIM_P0_IO6/SDIO1_CK/EXMC_NWAIT/DCI_D10/TLI_B2/EVENTOUT,
C7,PD3,gpio,HPDF_CKOUT/SPI1_SCK/I2S1_CK/USART1_CTS/EXMC_CLK/DCI_D5/TLI_G7/EVENTOUT,
C8,PC12,gpio,,
C9,PA9,gpio,TIMER0_CH1/I2C2_SMBA/SPI1_SCK/I2S1_CK/USART0_TX/TRIGSEL_IN13/DCI_D0/TLI_R5/EVENTOUT/USBHS0_VBUS,
C10,USBHS0_DM,gpio,,
D1,PH1-OSCOUT,gpio,EVENTOUT/OSCOUT,
D2,VDD,power,,
D3,PE5,gpio,TRACED2/SAI0_CLK1/HPDF_CKIN3,
D4,PE0,gpio,TIMER3_ETI/UART7_RX/SAI1_MCLK0/EXMC_NBL0/DCI_D2/TLI_R0/EVENTOUT,
D5,BOOT,boot,,
