PinName,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PA0,,TIMER1_CH0/TIMER1_ETI,TIMER4_CH0,TIMER7_ETI,TIMER14_BRKIN0,SPI5_NSS/I2S5_WS,OSPIM_P0_IO6,USART1_CTS,UART3_TX,SDIO1_CMD,SAI1_SD1,,EXMC_A19,TRIGSEL_IN0,,EVENTOUT
PA1,,TIMER1_CH1,TIMER4_CH1,,TIMER14_MCH0,,,USART1_RTS/USART1_DE,UART3_RX,OSPIM_P0_IO3,SAI1_MCLK1,ETH0_RMII_REF_CLK,,TRIGSEL_IN1,TLI_R2,EVENTOUT
PA2,,TIMER1_CH2,TIMER4_CH2,,TIMER14_CH0,,OSPIM_P0_IO0,USART1_TX,SAI1_SCK1,,,ETH0_MDIO,MDIO,TRIGSEL_IN7,TLI_R1,EVENTOUT
PA3,,TIMER1_CH3,TIMER4_CH3,,TIMER14_CH1,I2S5_MCK,OSPIM_P0_IO2,USART1_RX,,TLI_B2,USBHS0_ULPI_D0,,OSPIM_P0_SCK,TRIGSEL_IN4,TLI_B5,EVENTOUT
PA4,,,TIMER4_ETI,,,SPI0_NSS/I2S0_WS,SPI2_NSS/I2S2_WS,USART1_CK,SPI5_NSS/I2S5_WS,,,,EXMC_D8,DCI_HSYNC,TLI_VSYNC,EVENTOUT
PA5,,TIMER1_CH0/TIMER1_ETI,,TIMER7_MCH0,,SPI0_SCK/I2S0_CK,,,SPI5_SCK/I2S5_CK,,USBHS0_ULPI_CK,MDIO_A0,EXMC_D9,,TLI_R4,EVENTOUT
PA6,,TIMER0_BRKIN0,TIMER2_CH0,TIMER7_BRKIN0,,SPI0_MISO,OSPIM_P0_IO3,,SPI5_MISO,,CMP_MUX_OUT0,MDIO_MDC,,DCI_PIXCLK,TLI_G2,EVENTOUT
PA7,,TIMER0_MCH0,TIMER2_CH1,TIMER7_MCH0,,SPI0_MOSI/I2S0_SD,,,SPI5_MOSI/I2S5_SD,,OSPIM_P0_IO2,ETH0_RMII_CRS_DV,EXMC_SDNWE,TRIGSEL_IN5,TLI_VSYNC,EVENTOUT
PA8,CK_OUT0,TIMER0_CH0,,TIMER7_BRKIN2,I2C2_SCL,,,USART0_CK,,,USBHS0_SOF,UART6_RX,CMP_MUX_OUT1,TLI_B3,TLI_R6,EVENTOUT
PA9,,TIMER0_CH1,,,I2C2_SMBA,SPI1_SCK/I2S1_CK,,USART0_TX,,TRIGSEL_IN13,,,,DCI_D0,TLI_R5,EVENTOUT
PA10,,TIMER0_CH2,,,,,,USART0_RX,,TRIGSEL_IN12,USBHS0_ID,MDIO,TLI_B4,DCI_D1,TLI_B1,EVENTOUT
PA13,JTMS/SWDIO,TIMER0_BRKIN1,,TIMER7_BRKIN1,,SPI1_NSS/I2S1_WS,UART3_RX,USART0_CTS,,CAN0_RX,,MDIO_A3,EXMC_INT,TRIGSEL_IN10,TLI_R4,EVENTOUT
PA14,JTCK/SWCLK,,,,TLI_G7,SPI1_SCK/I2S1_CK,UART3_TX,USART0_RTS/USART0_DE,SAI1_FS1,CAN0_TX,,MDIO_A4,TIMER0_BRKIN2,TRIGSEL_IN11,TLI_R5,EVENTOUT
PA15,TJTDI/,IMER1_CHTIMER1_ET,0I,,,SPI0_NSS/I2S0_WS,SPI2_NSS/I2S2_WS,SPI5_NSS/I2S5_WS,UART3_RTS/UART3_DE,TLI_R3,,UART6_TX,MDIO_A0,TRIGSEL_OUT0,TLI_B6,EVENTOUT
PB0,,TIMER0_MCH1,TIMER2_CH2,TIMER7_MCH1,OSPIM_P0_IO1,,HPDF_CKOUT,,UART3_CTS,TLI_R3,USBHS0_ULPI_D1,,MDIO_A1,TRIGSEL_OUT3,TLI_G1,EVENTOUT
PB1,,TIMER0_MCH2,TIMER2_CH3,TIMER7_MCH2,OSPIM_P0_IO0,,HPDF_DATAIN1,,,TLI_R6,USBHS0_ULPI_D2,,MDIO_A2,TRIGSEL_OUT4,TLI_G0,EVENTOUT
PB2,RTC_OUT,SAI2_DAT0(1),SAI0_DAT0,EXMC_D10,HPDF_CKIN1,,SAI0_SD0,SPI2_MOSI/I2S2_SD,SAI2_SD0(1),OSPIM_P0_SCK,,EXMC_NCE,MDIO_A3,TIMER22_ETI,,EVENTOUT
PB3,JTDO/TRACESWO,TIMER1_CH1,TLI_PIXCLK,,,SPI0_SCK/I2S0_CK,SPI2_SCK/I2S2_CK,,SPI5_SCK/I2S5_CK,SDIO1_D2,CTC_SYNC,UART6_RX,MDIO_A4,TRIGSEL_OUT7,TIMER23_ETI,EVENTOUT
PB4,NJTRST,TIMER15_BRKIN0,TIMER2_CH0,,,SPI0_MISO,SPI2_MISO,SPI1_NSS/I2S1_WS,SPI5_MISO,SDIO1_D3,,UART6_TX,,TRIGSEL_OUT6,,EVENTOUT
PB5,,TIMER16_BRKIN0,TIMER2_CH1,TLI_B5,I2C0_SMBA,SPI0_MOSI/I2S0_SD,I2C3_SMBA,SPI2_MOSI/I2S2_SD,SPI5_MOSI/I2S5_SD,CAN1_RX,USBHS0_ULPI_D7,ETH0_PPS_OUT,EXMC_SDCKE1,DCI_D10,UART4_RX,EVENTOUT
PB6,,TIMER15_MCH0,TIMER3_CH0,EXMC_D11,I2C0_SCL,,I2C3_SCL,USART0_TX,,CAN1_TX,OSPIM_P0_CSN,HPDF_DATAIN5,EXMC_SDNE1,DCI_D5,UART4_TX,EVENTOUT
PB7,,TIMER16_MCH0,TIMER3_CH1,,I2C0_SDA,,I2C3_SDA,USART0_RX,,,,HPDF_CKIN5,"EXMC_NL/EXMC_NADV,",DCI_VSYNC,,EVENTOUT
PB8,,TIMER15_CH0,TIMER3_CH2,HPDF_CKIN7,I2C0_SCL,,I2C3_SCL,SDIO0_CKIN,UART3_RX,CAN0_RX,SDIO1_D4,,SDIO0_D4,DCI_D6,TLI_B6,EVENTOUT
PB9,,TIMER16_CH0,TIMER3_CH3,HPDF_DATAIN7,I2C0_SDA,SPI1_NSS/I2S1_WS,I2C3_SDA,SDIO0_CMDDIR,UART3_TX,CAN0_TX,SDIO1_D5,I2C3_SMBA,SDIO0_D5,DCI_D7,TLI_B7,EVENTOUT
PB10,,TIMER1_CH2,,,I2C1_SCL,SPI1_SCK/I2S1_CK,HPDF_DATAIN7,USART2_TX,,OSPIM_P0_CSN,USBHS0_ULPI_D3,,,TRIGSEL_OUT2,TLI_G4,EVENTOUT
PB11,,TIMER1_CH3,,,I2C1_SDA,,HPDF_CKIN7,USART2_RX,,,USBHS0_ULPI_D4,ETH0_RMII_TX_EN,,,TLI_G5,EVENTOUT
PB12,,TIMER0_BRKIN0,,,I2C1_SMBA,SPI1_NSS/I2S1_WS,HPDF_DATAIN1,USART2_CK,,CAN1_RX,USBHS0_ULPI_D5,ETH0_RMII_TXD0,OSPIM_P0_IO0,CMP_MUX_OUT2,UART4_RX,EVENTOUT
PB13,RTC_REFIN,TIMER0_MCH0,,,OSPIM_P0_IO2,SPI1_SCK/I2S1_CK,HPDF_CKIN1,USART2_CTS,,CAN1_TX,USBHS0_ULPI_D6,ETH0_RMII_TXD1,SDIO0_D0,DCI_D2,UART4_TX,EVENTOUT
PB14,,TIMER0_MCH1,,TIMER7_MCH1,USART0_TX,SPI1_MISO,HPDF_DATAIN2,USART2_RTS/USART2_DE,UART3_RTS/UART3_DE,SDIO1_D0,,,EXMC_D10,TRIGSEL_OUT1,TLI_PIXCLK,EVENTOUT
PB15,RTC_REFN,ITIMER0_MCH2,,TIMER7_MCH2,USART0_RX,SPI1_MOSI/I2S1_SD,HPDF_CKIN2,,UART3_CTS,SDIO1_D1,,,EXMC_D11,TRIGSEL_OUT5,TLI_G7,EVENTOUT
PC0,,EXMC_D12,,HPDF_CKIN0,,,HPDF_DATAIN4,TIMER40_CH0,SAI1_FS1,EXMC_A25,USBHS0_ULPI_STP,TLI_G2,EXMC_SDNWE,TRIGSEL_IN8,TLI_R5,EVENTOUT
PC1,TRACED0,SAI2_DAT0(1),SAI0_DAT0,HPDF_DATAIN0,HPDF_CKIN4,SPI1_MOSI/I2S1_SD,SAI0_SD0,TIMER40_MCH0,SAI2_SD0(1),SDIO1_CK,OSPIM_P0_IO4,ETH0_MDC,MDIO_MDC,TRIGSEL_IN9,TLI_G5,EVENTOUT
PC4,PMU_DEEPSLEEP,EXMC_A22,,HPDF_CKIN2,,I2S0_MCK,,TIMER41_CH0,,RSPDIF_CH2,SDIO1_CKIN,ETH0_RMII_RXD0,EXMC_SDNE0,,TLI_R7,EVENTOUT
PC5,PMU_SLEEP,SAI2_DAT2(1),SAI0_DAT2,HPDF_DATAIN2,,,,TIMER41_MCH0,,RSPDIF_CH3,,ETH0_RMII_RXD1,EXMC_SDCKE0,CMP0_OUT,TLI_DE,EVENTOUT
PC6,,TIMER0_BRKIN1,TIMER2_CH0,TIMER7_CH0,HPDF_CKIN3,I2S1_MCK,,USART5_TX,SDIO0_DAT0DIR,EXMC_NWAIT,SDIO1_D6,,SDIO0_D6,DCI_D0,TLI_HSYNC,EVENTOUT
PC7,,TIMER0_CH3,TIMER2_CH1,TIMER7_CH1,HPDF_DATAIN3,,I2S2_MCK,USART5_RX,SDIO0_DAT123DIR,EXMC_NE0,SDIO1_D7,,SDIO0_D7,DCI_D1,TLI_G6,EVENTOUT
PC8,TRACED1,,TIMER2_CH2,TIMER7_CH2,,,,USART5_CK,UART4_RTS/UART4_DE,EXMC_NE1,EXMC_INT,,SDIO0_D0,DCI_D2,,EVENTOUT
PC9,CK_OUT1,TIMER0_MCH3,TIMER2_CH3,TIMER7_CH3,I2C2_SDA,I2S_CKIN,,,UART4_CTS,OSPIM_P0_IO0,TLI_G3,,SDIO0_D1,DCI_D3,TLI_B2,EVENTOUT
PC10,,TIMER0_CH3,,HPDF_CKIN5,,,SPI2_SCK/I2S2_CK,USART2_TX,UART3_TX,OSPIM_P0_IO1,TLI_B1,MDIO_A1,SDIO0_D2,DCI_D8,TLI_R2,EVENTOUT
PC11,,TIMER0_ETI,,HPDF_DATAIN5,,,SPI2_MISO,USART2_RX,UART3_RX,OSPIM_P0_CSN,EXMC_NBL2,MDIO_A2,SDIO0_D3,DCI_D4,TLI_B4,EVENTOUT
PC12,TRACED3,EXMC_D6,TIMER14_CH0,,,SPI5_SCK/I2S5_CK,SPI2_MOSI/I2S2_SD,USART2_CK,UART4_TX,,,,SDIO0_CK,DCI_D9,TLI_R6,EVENTOUT
PC13,,,,,,,,,,,,,,,,EVENTOUT
PC14,,,,,,,,,,,,,,,,EVENTOUT
PC15,,,,,,,,,,,,,,,,EVENTOUT
PD0,,,TIMER7_CH2,HPDF_CKIN6,,,,,UART3_RX,CAN0_RX,,,EXMC_D2,TRIGSEL_IN3,TLI_B1,EVENTOUT
PD1,,,,HPDF_DATAIN6,,,,,UART3_TX,CAN0_TX,,,EXMC_D3,TRIGSEL_IN6,,EVENTOUT
PD2,TRACED2,EXMC_D7,TIMER2_ETI,,TIMER14_BRKIN0,,,,UART4_RX,TLI_B7,,,SDIO0_CMD,DCI_D11,TLI_B2,EVENTOUT
