PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,TRACECK/SAI0_CLK0/SPI3_SCK/SAI0_MCLK0/SAI2_MCLK0/OSPIM_P0_IO2/SAI2_CLK0/EXMC_A23/EVENTOUT,
2,PE3,gpio,TRACED0/TIMER14_BRKIN0/SAI0_SD1/SAI2_SD1/EXMC_A19/DCI_PIXCLK/EVENTOUT,
3,PE4,gpio,TRACED1/TIMER0_BRKIN1/SAI0_DAT1/HPDF_DATAIN3/TIMER14_MCH0/SPI3_NSS/SAI0_FS0/SAI2_FS0/SAI2_DAT1/EXMC_A20/DCI_D4/TLI_B0/EVENTOUT,
4,PE5,gpio,TRACED2/SAI0_CLK1/HPDF_CKIN3,
5,PE6,gpio,TRACED3/TIMER0_BRKIN2/SAI0_DAT0,
6,VBAT,power,,
7,PC13,gpio,EVENTOUT/RTC_TAMP0/RTC_TS/WKUP3/RTC_OUT,
8,PC14-OSC32IN,gpio,EVENTOUT/OSC32IN,
9,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
10,PF0,gpio,I2C1_SDA/USBHS0_ULPI_D4/OSPIM_P1_IO0/EXMC_A0/TIMER22_CH0/EVENTOUT,
11,PF1,gpio,I2C1_SCL/USBHS0_ULPI_D5/OSPIM_P1_IO1/EXMC_A1/TIMER22_CH1/EVENTOUT,
12,PF2,gpio,I2C1_SMBA/USBHS0_ULPI_D6/OSPIM_P1_IO2/EXMC_A2/TIMER22_CH2/EVENTOUT,
13,PF3,gpio,OSPIM_P1_IO3/EXMC_A3/TIMER22_CH3/EVENTOUT/ADC2_IN5,
14,PF4,gpio,TIMER0_MCH1/TIMER7_MCH1/USART0_TX/HPDF_DATAIN2/USART2_RTS/USART2_DE/UART3_RTS/UART3_DE/OSPIM_P1_SCK/SDIO1_D0/EXMC_A4/TRIGSEL_OUT1/TLI_PIXCLK/EVENTOUT/ADC2_IN9,
15,PF5,gpio,TIMER0_MCH2/TIMER7_MCH2/USART0_RX/HPDF_CKIN2/UART3_CTS/SDIO1_D1/EXMC_A5/TRIGSEL_OUT5/TLI_G7/EVENTOUT/ADC2_IN4,
16,VSS,ground,,
17,VDD,power,,
18,PF6,gpio,TIMER15_CH0/CAN2_RX/SPI4_NSS/SAI0_SD1/UART6_RX/SAI2_SD1/OSPIM_P0_IO3/EXMC_D24/TIMER22_CH0/EVENTOUT/ADC2_IN8,
19,PF7,gpio,TIMER16_CH0/CAN2_TX/SPI4_SCK/SAI0_MCLK1/UART6_TX/SAI2_MCLK1/OSPIM_P0_IO2/EXMC_D25/TIMER22_CH1/EVENTOUT/ADC2_IN3,
20,PF8,gpio,TIMER15_MCH0/SPI4_MISO/SAI0_SCK1/UART6_RTS/UART6_DE/SAI2_SCK1/OSPIM_P0_IO0/EXMC_D26/TIMER22_CH2/EVENTOUT/ADC2_IN7,
21,PF9,gpio,TIMER16_MCH0/SPI4_MOSI/SAI0_FS1/UART6_CTS/SAI2_FS1/OSPIM_P0_IO1/EXMC_D27/TIMER22_CH3/EVENTOUT/ADC2_IN2,
22,PF10,gpio,TIMER15_BRKIN0/SAI0_DAT2/OSPIM_P0_SCK,
23,PH0-OSCIN,gpio,ADC2_IN6/EVENTOUT/OSCIN,
24,PH1-OSCOUT,gpio,EVENTOUT/OSCOUT,
25,NRST,reset,,
26,PC0,gpio,EXMC_D12/HPDF_CKIN0/HPDF_DATAIN4/TIMER40_CH0/SAI1_FS1/EXMC_A25,
