PadNumber,PinName,PinType,Alternate,Remap
1,PD6,gpio,LPTIMER0_IN1/LPTIMER1_OUT/USART/1_RX/EVENTOUT/SPI0_MOSI/VSLCD,
2,VBAT,power,,
3,PC13-TAMPER-RTC,gpio,TIMER0_BRKIN/EVENTOUT/RTC_TAMP0/RTC_OUT/RTC_TS/WKU/P1,
4,PC14-OSC32IN,gpio,TIMER0_BRKIN/EVENTOUT/OSC32IN,
5,PC15-OSC32OUT,gpio,TIMER14_BRKIN/EVENTOUT/OSC32OUT,
6,OSCIN,gpio,EVENTOUT/SPI1_NSS/I2S1_WS/CK_O/UT/LPTIMER1_OUT/TIMER8_CH0/TIMER0_CH0/PF0,
7,OSCOUT,gpio,EVENTOUT/SPI1_SCK/I2S1_CK/TIMER/14_CH0_ON/PF1,
8,NRST,reset,,
9,PC0,gpio,SEG18/I2C2_SCL/LPUART0_RX/LPTIM/ER0_IN0/LPTIMER1_IN0/LPUART1_TX/EVENTO/UT/ADC_IN10,
10,PC1,gpio,SEG19/I2C2_SDA/LPUART0_TX/EVEN/TOUT/LPTIMER0_OUT/LPUART1_RX/TIMER14_C/H0/LPTIMER1_IN1/ADC_IN11,
11,PC2,gpio,SPI1_MISO/I2S1_MCK/SEG20/EVENT/OUT/LPTIMER0_IN1/TIMER14_CH1/ADC_IN12,
12,PC3,gpio,,
13,VSS,ground,,
14,VREFP,power,,
15,VDD,power,,
16,PA0,gpio,USART1_CTS/TIMER1_CH0/TIMER1_E/TI/CMP0_OUT/EVENTOUT/UART3_TX/SPI1_SC/K/I2S1_CK/LPTIMER0_OUT/CAN_RX/WKUP0/ADC_IN0/RTC_TAMP1/CMP0,
17,PA1,gpio,USART1_RTS/USART1_DE/TIMER1_CH1/I2C0_SMBA/SPI0_SCK/SEG0/EVENTOUT/UA/RT3_RX/TIMER14_CH0_ON/CAN_TX/ADC_IN1/CMP0_IP,
18,PA2,gpio,USART1_TX/TIMER8_CH0/TIMER1_CH2/SPI0_IO2/CMP1_OUT/LPUART0_TX/SEG1/E/VENTOUT/SPI0_MOSI/TIMER14_CH0/ADC_IN2/CMP1_IM4/RTC_TAMP2/WK/UP2,
19,PA3,gpio,USART1_RX/TIMER1_CH3/TIMER8_CH1/SPI0_IO3/LPUART0_RX/SEG2/EVENTOUT/S/PI1_MISO/I2S1_MCK/TIMER14_CH1/ADC_IN3/CMP1_IP0,
20,PD8,gpio,LPTIMER0_ETI0/LPUART0_TX/EVENTO/UT/SEG30/LPTIMER0_OUT/SPI0_SCK,
21,PD9,gpio,LPTIMER0_IN0/LPUART0_RX/EVENTO/UT/SEG31/TIMER0_BRKIN/SPI0_NSS,
22,PA4,gpio,SPI0_NSS/USART1_CK/SPI1_NSS/I2S/1_WS/LPTIMER0_OUT/EVENTOUT/SPI1_MOSI/I/2S1_SD/LPTIMER1_OUT/TIMER8_CH0/TIMER40/ADC_IN4/DAC 0_OUT0,
23,PA5,gpio,SPI0_SCK/TIMER1_CH0/TIMER1_ETI,
24,PA6,gpio,ADC_IN5,
25,PA7,gpio,SPI0_MISO/TIMER2_CH0/LPTIMER0_IN0/CMP0_OUT/LPUART0_CTS/SEG3/EVENTOUT/TIMER0_BRKIN/I2C2_SDA/TIMER11_CH0/TIMER/40_CH0/I2C1_SDA/ADC_IN6/SPI0_MOSI/TIMER2_CH1/LPTIMER0_E/TI0/I2C2_SCL/CMP1_OUT/SEG4/TI/MER0_CH0_ON/TIMER11_CH1/MER8_CH0/I2C1_SCL/ADC_IN7,
26,PC4,gpio,LPUART0_TX/USART0_TX/TIMER1_CH/ADC_IN14,
27,PC5,gpio,LPUART0_RX/USART0_RX/TIMER1_CH1/SEG23/EVENTOUT/CAN_TX/ADC_IN15,
28,PB0,gpio,TIMER2_CH2/LPTIMER0_OUT/SPI0_NS,
29,PB1,gpio,ADC_IN8/VREF_OUT/TIMER2_CH3/LPUART0_RTS/LPUART0,
30,BOOT1-PB2,boot,ADC_IN9/VREF_OUT,
31,PB10,gpio,SPI1_SCK/I2S1_CK/LPUART0_TX/I2C1,
32,PB11,gpio,LPUART0_RX/I2C1_SDA/LPUART0_TX/TIMER1_CH3/CMP1_OUT/SEG11/EVENTOUT/S/PI1_MOSI/I2S1_SD,
33,PB12,gpio,SPI1_NSS/I2S1_WS/I2C1_SMBA/LPUA,
34,PB13,gpio,CK_OUT/SPI1_SCK/I2S1_CK/LPUART0,
35,PB14,gpio,SPI1_MISO/LPUART0_RTS/LPUART0_/DE/I2C1_SDA/TIMER11_CH0/SEG14/EVENTOU,
36,PB15,gpio,SPI1_MOSI/I2S1_SD/TIMER11_CH1/S/EG15/EVENTOUT/TIMER0_CH2_ON/TIMER14_C/H0_ON/TIMER14_CH1/RTC_REFIN,
37,PC6,gpio,I2S1_MCK/TIMER2_CH0/SEG24/EVEN/TOUT/TIMER11_CH0/LPUART1_TX/TIMER1_CH2/WKUP4,
38,PC7,gpio,TIMER2_CH1/SEG25/EVENTOUT/TIME/R11_CH1/LPUART1_RX/TIMER1_CH3,
39,PC8,gpio,TIMER2_CH2/I2C2_SDA/SEG26/EVEN/TOUT/TIMER0_CH0/LPUART1_CTS,
40,PC9,gpio,TIMER2_CH3/I2C2_SCL/SEG27/EVEN/TOUT/TIMER0_CH1/I2C2_SDA/LPUART1_RTS/L/PUART1_DE,
41,PA8,gpio,USART0_CK/CK_OUT/LPTIMER0_OUT/I2C2_SMBA/COM0/EVENTOUT/CTC_SYNC/TIM/ER0_CH0/SPI1_NSS/I2S1_WS/LP TIMER1_OUT/I/2C1_SMBA/I2C2_SCL,
42,PA9,gpio,CK_OUT/USART0_TX/I2C0_SCL/COM1/EVENTOUT/LPTIMER0_IN1/TIMER0_CH1/SPI1,
43,PA10,gpio,USART0_RX/I2C0_SDA/COM2/EVENT/OUT/TIMER0_CH2/I2C1_SDA/SPI1_MOSI/I2S1_/SD,
44,PA11,gpio,CMP0_OUT/USART0_CTS/SPI0_MISO/EVENTOUT/TIMER0_CH3/TIMER0_BRKIN/I2C1_/SCL/CAN_RX/LPUART1_RTS/LPUART1_DE/USBDM,
45,PA12,gpio,CMP1_OUT/USART0_RTS/USART0_DE/SPI0_MOSI/EVENTOUT/TIMER0_ETI/I2C1_SDA/CAN_TX/LPUART1_CTS/USBDP,
46,PA13,gpio,,
47,PD0,gpio,SPI1_NSS/I2S1_WS/LPTIMER0_OUT/U/SART1_CK/EVENTOUT/CTC_SYNC/TIMER 8_CH0/CAN_RX,
48,PD1,gpio,SPI1_SCK/I2S1_CK/SPI1_MISO/USAR/T1_CTS/EVENTOUT/CAN_TX/TIMER11_CH0/TI/MER40_CH1,
49,PA14,gpio,,
50,PA15,gpio,SPI1_NSS/I2S1_WS/TIMER1_CH0/TIM/ER1_ETI/SPI0_NSS/USART1_RX/SEG17/EVEN/TOUT/I2C1_SMBA,
51,PC10,gpio,UART3_TX/LPUART0_TX/SPI1_SCK/I2/S1_CK/SEG28/COM4/EVENTOUT/TIMER0_CH2,
52,PC11,gpio,UART3_RX/LPUART0_RX/SPI1_MISO/SEG29/COM5/EVENTOUT/TIMER0_CH3,
53,PC12,gpio,UART4_TX/SPI1_MOSI/I2S1_SD/SE/G30/COM6/EVENTOUT/LPTIMER0_IN0/TIMER8,
54,PD2,gpio,LPUART0_RTS/LPUART0_DE/TIMER2_,
55,PB3,gpio,UART4_TX/SPI1_SCK/I2S1_CK/TIME,
56,PB4,gpio,UART4_RX/SPI1_MISO/TIMER2_CH0/C2_SDA/I2C1_SDA/TIMER11_CH0/CMP1_IP1,
57,PB5,gpio,LPTIMER0_IN0/I2C0_SMBA/SPI1_MOS/I/I2S1_SD/SPI0_MOSI/USART0_CK/CMP1_OUT/CMP1_IP2/WKUP4,
58,PB6,gpio,LPTIMER0_ETI0/I2C1_SCL/I2C0_SCL/USART0_TX/SPI0_IO2/EVENTOUT/SPI1_MISO/CMP1_IP3,
59,PB7,gpio,I2C1_SDA/I2C0_SDA/USART0_RX/SPI/0_IO3/EVENTOUT/SPI1_MOSI/I2S1_SD/LPTIME/R0_IN1/LPUART1_TX/CK_OUT/CMP1_IP4,
60,BOOT0-PD3,boot,USART1_CTS/SPI1_MISO/I2S1_MCK/T/PD3,
61,PB8,gpio,I2C1_SCL/I2C0_SCL/CMP0_OUT/SEG16/EVENTOUT/SPI1_SCK/I2S1_CK/TIMER14_BR,
62,PB9,gpio,I2C1_SDA/SPI1_NSS/I2S1_WS/I2C0_S/DA/CMP1_OUT/COM3/EVENTOUT/CAN_TX/TI,
63,PD4,gpio,SPI1_MOSI/I2S1_SD/USART1_RTS/US/ART1_DE/EVENTOUT/SEG28/TIMER0_CH2_ON,
64,PD5,gpio,USART1_TX/EVENTOUT/SPI0_MISO/S/EG29/TIMER0_BRKIN,
