PinName,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PA0,,,CK_OUT,TIMER2_CH0,,,,CFMUREF,UART3_RX,,CMP0_OUT,,,,,
PA1,,,,TIMER2_CH2,,,POC_IN5,ADC2_PROC,UART3_TX,,CMP1_OUT,,GTOC0_IN,GTOC1_IN,GTOC2_IN,GTOC3_IN
PA8,,,,TIMER2_CH1,TIMER_ETI3,,,,POC_IN5,,,,GPTIMER1_CH0,GTOC1_IN,GPTIMER1_CH0_INV,GTOC3_IN
PA9,,,,TIMER0_CH3,TIMER_ETI2,TIMER0_CH3_INV,,,POC_IN3,UART3_RX,,TIMER2_CH3,GPTIMER1_CH1,GTOC0_IN,GPTIMER1_CH1_INV,GTOC2_IN
PB0,,,,TIMER2_CH2,TIMER_ETI1,,,,,ADC0_TRG,,,,SPI_SCK,,
PB1,,,,TIMER2_CH0,TIMER_ETI0,,,,,,CMP3_OUT,,UART3_TX,SPI_MOSI,,
PB2,,,,TIMER1_CH2,TIMER_ETI3,,,,,ADC2_TRG,CMP2_OUT,TIMER2_CH1,UART3_RX,SPI_MISO,,CAN_RX
PC0,,,,,,,,,,,,,,,,
PC1,,,,,,,,,,,,,,,,
PC2,,,,,,,,,,,,,,,,
PC3,,,,,,,,,,,,,,,,
PC4,,,,,,,,,,,,,,,,
PC5,,,,,,,,,,,,,,,,
PC6,,,,,,,,,,,,,,,,
PC7,,,,,,,,,,,,,,,,
PC9,,,,,,,,,,UART3_RX,,,,,,
PC8,,,,,TIMER0_MCH3,TIMER2_CH1,TIMER0_MCH3_INV,,,UART3_TX,,,,GPTIMER1_CH0,,GPTIMER1_CH0_INV
PC10,,,,,,,,,,,,,,,,
PC11,,,,,,,,,,,,,,,,
PC12,,,,,,,,,,,,,,,,
PD2,,,,,,,,,,,,,,,,
PD4,,,,,,,,,,,,,,,,
PD5,,,,,,,,,,,,,,,,
PD8,,,,TIMER1_CH0,TIMER_ETI2,,,,POC_IN0,TIMER0_BRKIN,,SPI_NSS,GTOC0_IN,GTOC1_IN,GTOC2_IN,GTOC3_IN
PD9,,,,TIMER0_CH0,,TIMER0_CH0_INV,,,,,,,,,,
PD10,,,,TIMER0_CH1,,TIMER0_CH1_INV,,,,,,,,,,
PD11,,,,TIMER0_CH2,,TIMER0_CH2_INV,,,,,,,,,,
PD12,,,,TIMER0_MCH0,,TIMER0_MCH0_INV,,,,,,,,,,
PD13,,,,TIMER0_MCH1,,TIMER0_MCH1_INV,,,,,,,,,,
PD14,,,,TIMER0_MCH2,,TIMER0_MCH2_INV,,,,,,,,,,
PE8,,,,TIMER7_MCH2,,TIMER7_MCH2_INV,,,,,,,,,,
PE9,,,,TIMER7_MCH1,,TIMER7_MCH1_INV,,,,,,,,,,
PE10,,,,TIMER7_MCH0,TIMER7_MCH3,TIMER7_MCH0_INV,TIMER7_MCH3_INV,,,,,,,,,
PE11,,,,TIMER7_CH2,TIMER7_CH3,TIMER7_CH2_INV,TIMER7_CH3_INV,,,,,,,,,
PE12,,,,TIMER7_CH1,,TIMER7_CH1_INV,,,,,,,,,,
PE13,,,,TIMER7_CH0,,TIMER7_CH0_INV,,,,,,,,,,
PE14,,,,,,,,,POC_IN1,TIMER7_BRKIN,,,GTOC0_IN,GTOC1_IN,GTOC2_IN,GTOC3_IN
PF8,,,,TIMER1_CH3,,,,ADC2_TRG,UART2_TX,I2C_SDA,I2C_SMBA,SPI_MOSI,,GPTIMER0_CH0,,GPTIMER0_CH0_INV
PF9,,,,TIMER1_CH2,,,,ADCSM2,UART2_RX,,I2C_SCL,SPI_IO2,ADCSM4,GPTIMER0_CH1,,GPTIMER0_CH1_INV
PF10,,,CPTIMERW_IC1,TIMER1_CH1,,,,ADCSM1,UART2_TX,I2C_SMBA,I2C_SDA,SPI_IO3,ADCSM3,GPTIMER0_CH0,,GPTIMER0_CH0_INV
PF11,,,CPTIMERW_OC1,TIMER1_CH0,,,,CFMUREF,,UART3_TX,CAN_TX,SPI_SCK,,,,
PF12,,,CK_OUT,,,,POC_IN2,,,UART3_RX,CAN_RX,SPI_MISO,GTOC0_IN,GTOC1_IN,GTOC2_IN,GTOC3_IN
PF13,,,CPTIMERW_IC0,,,TIMER2_CH3,,,UART1_TX,UART3_TX,CAN_TX,,,GPTIMER1_CH1,,GPTIMER1_CH1_INV
PF14,,,CPTIMERW_OC0,TIMER2_CH2,,,,,UART1_RX,UART3_RX,CAN_RX,,,GPTIMER1_CH0,,GPTIMER1_CH0_INV
PG11,,,,TIMER1_CH2,,TIMER2_CH2,,,UART0_TX,,,,,GTOC2_IN,,GPTIMER0_CH1
PG12,,,,,,TIMER2_CH1,,,,UART3_TX,,,GPTIMER0_CH1,GTOC1_IN,GPTIMER0_CH1_INV,
PG13,,,,TIMER1_CH1,,TIMER2_CH0,,,UART0_RX,,,,GPTIMER0_CH0,GTOC0_IN,GPTIMER0_CH0_INV,
PG14,,,,TIMER2_CH2,,,,ADC0_PROC,,UART3_RX,,SPI_NSS,GPTIMER0_CH1,GPTIMER1_CH1,GPTIMER0_CH1_INV,GPTIMER1_CH1_INV
PG15,,,,TIMER2_CH0,,,,,UART1_TX,,CAN_TX,SPI_NSS,GPTIMER0_CH0,GPTIMER1_CH0,GPTIMER0_CH0_INV,GPTIMER1_CH0_INV
PN2,,,,,,,,,POC_IN4,,,,,,,
PN7,,,,TIMER2_CH3,,,,ADC0_PROC,,,,,,,,
