PadNumber,PinName,PinType,Alternate,Remap
1,PA0,gpio,CK_OUT/TIMER2_CH0/CFMUREF/UART3_RX/CMP0_OUT/EVENTOUT/WKUP1,
2,VCAP,power,,
3,BOOT-PN6,boot,,
4,NRST-PN5,reset,PN5,
5,PB15-OSCOUT,gpio,UART1_RX/EVENTOUT/OSCOUT,
6,VSS,ground,,
7,PB14-OSCIN,gpio,UART1_TX/EVENTOUT/OSCIN,
8,VDD,power,,
9,PN2,gpio,,
10,PG15,gpio,TIMER2_CH0/UART1_TX/CAN_TX/SPI_NSS/GPTIMER0_CH0/GPTIMER1_CH0/GPTIMER0_CH0_INV/GPTIMER1_CH0_INV/EVENTOUT,
11,PG13,gpio,,
12,PG11,gpio,TIMER1_CH2/TIMER2_CH2/UART0_TX/GTOC2_IN/GPTIMER0_CH1/GPTIMER0_CH1_INV/EVENTOUT,
13,PF14,gpio,CPTIMERW_OC0/TIMER2_CH2/UART1_RX/UART3_RX/CAN_RX/GPTIMER1_CH0/GPTIMER1_CH0_INV/EVENTOUT,
14,PF13,gpio,CPTIMERW_IC0/TIMER2_CH3/UART1_TX/UART3_TX/CAN_TX/GPTIMER1_CH1/GPTIMER1_CH1_INV/EVENTOUT,
15,PF12,gpio,CK_OUT/POC_IN2/UART3_RX/CAN_RX/SPI_MISO/GTOC0_IN/GTOC1_IN/GTOC2_IN/GTOC3_IN/GPTIMER0_CPPO/EVENTOUT,
16,PF11,gpio,CPTIMERW_OC1/TIMER1_CH0/CFMUREF/UART3_TX/CAN_TX/SPI_SCK/EVENTOUT,
17,PF10,gpio,CPTIMERW_IC1/TIMER1_CH1/ADCSM1/UART2_TX/I2C_SMBA/I2C_SDA/SPI_IO3/ADCSM3/GPTIMER0_CH0/GPTIMER0_CH0_INV/EVENTOUT,
18,PF9,gpio,TIMER1_CH2/ADCSM2/UART2_RX/I2C_SCL/SPI_IO2/ADCSM4/GPTIMER0_CH1/GPTIMER0_CH1_INV/EVENTOUT,
19,PF8,gpio,TIMER1_CH3/ADC2_TRG/UART2_TX/I2C_SDA/I2C_SMBA/SPI_MOSI/GPTIMER0_CH0/GPTIMER0_CH0_INV/EVENTOUT,
20,PE13,gpio,TIMER7_CH0/TIMER7_CH0_INV,
21,PE12,gpio,TIMER7_CH1/TIMER7_CH1_INV,
22,PE11,gpio,TIMER7_CH2/TIMER7_CH3/TIMER7_CH2_INV/TIMER7_CH3_INV,
23,PE10,gpio,TIMER7_MCH0/TIMER7_MCH3/TIMER7_MCH0_INV/TIMER7_MCH3_INV,
24,PE9,gpio,TIMER7_MCH1/TIMER7_MCH1_INV,
25,PD14,gpio,TIMER0_MCH2/TIMER0_MCH2_INV,
26,PD13,gpio,TIMER0_MCH1/TIMER0_MCH1_INV,
27,PD12,gpio,TIMER0_MCH0/TIMER0_MCH0_INV,
28,PD11,gpio,TIMER0_CH2/TIMER0_CH2_INV,
29,PD10,gpio,TIMER0_CH1/TIMER0_CH1_INV,
30,PD9,gpio,TIMER0_CH0/TIMER0_CH0_INV,
31,VDD,power,,
32,VSS,ground,,
33,PB1,gpio,TIMER2_CH0/TIMER_ETI0/CMP3_OUT/UART3_TX/SPI_MOSI/EVENTOUT/ADC2_IN7,
34,PB0,gpio,TIMER2_CH2/TIMER_ETI1/ADC0_TRG/SPI_SCK/EVENTOUT/ADC2_IN6,
35,VREFP2,power,,
36,VREFN2,power,,
37,PD2,gpio,EVENTOUT/ADC2_IN8/CMP3_INP2,
38,PC11,gpio,EVENTOUT/ADC2_IN1/CMP1_INP3/CMP_INN1,
39,PC10,gpio,,
40,PC4,gpio,EVENTOUT/ADC2_IN0/CMP0_INP3/CMP2_INP5/ADC0_IN4/CMP0_INP2,
41,PC3,gpio,EVENTOUT/ADC0_IN3/CMP2_INP4/CMP3_INP1,
42,PC2,gpio,EVENTOUT/ADC0_IN2/CMP2_INP1,
43,PC1,gpio,EVENTOUT/ADC0_IN1/CMP1_INP1,
44,PC0,gpio,EVENTOUT/ADC0_IN0/CMP0_INP1/CMP1_INP4,
45,VREFP0,power,,
46,VREFN0,power,,
47,PA9,gpio,TIMER0_CH3/TIMER_ETI2/TIMER0_CH3_INV/POC_IN3/UART3_RX/TIMER2_CH3/GPTIMER1_CH1/GTOC0_IN/GPTIMER1_CH1_INV/GTOC2_IN/GPTIMER0_CPPO/EVENTOUT,
48,PA8,gpio,TIMER2_CH1/TIMER_ETI3/POC_IN5/GPTIMER1_CH0/GTOC1_IN/GPTIMER1_CH0_INV/GTOC3_IN/EVENTOUT,
